%Time (s),Wheel Position (deg),Slide position (mm),Wheel Speed (deg/s),Slide Speed (mm/s)
0,4655.96,192.18,525.917,-368.827
0.02,4666.68,183.798,561.583,-463.923
0.04,4678.22,173.766,558.833,-531.82
0.06,4689.02,162.533,556.417,-600.626
0.08,4700.56,149.696,571.083,-680.532
0.1,4711.86,135.395,581,-744.34
0.12,4723.88,119.988,608.833,-796.789
0.14,4736.14,103.505,619.667,-855.339
0.16,4748.68,85.808,636.667,-910.319
0.18,4761.54,67.238,635,-946.215
0.2,4774.28,48.325,672.25,-922.652
0.22,4788.54,30.737,730.25,-840.539
0.24,4803.34,15.236,759.25,-681.246
0.26,4818.76,4.253,762.833,-396.869
0.28,4833.82,-0.047,766.667,-14.67
0.3,4849.3,3.723,755.167,374.929
0.32,4863.66,14.519,675.25,696.306
0.34,4876.24,30.799,590.583,893.572
0.36,4887.28,49.447,502.75,959.587
0.38,4896.52,68.687,447.417,955.627
0.4,4905.24,87.319,401.917,899.219
0.42,4912.54,104.424,341.667,806.655
0.44,4918.98,119.536,296,708.769
0.46,4924.44,132.825,256.583,618.542
0.48,4929.4,144.415,245.25,551.813
0.5,4934.32,155.009,243.917,503.389
0.52,4939.16,164.574,241.667,456.198
0.54,4943.98,173.283,236.167,413.227
0.56,4948.68,181.119,243.167,373.111
0.58,4953.8,188.191,266.583,331.373
0.6,4959.36,194.298,291.083,275.939
0.62,4965.44,199.19,311.75,216.999
0.64,4971.94,202.882,352.583,142.675
0.66,4979.62,204.783,408,49.268
0.68,4988.18,204.798,447,-48.229
0.7,4997.44,202.695,478.667,-178.377
0.72,5007.22,197.757,489.083,-293.725
0.74,5017.06,191.26,512.417,-340.006
0.76,5027.76,183.814,543.75,-464.766
0.78,5038.78,172.753,570.167,-573.818
0.8,5050.48,161.24,584.167,-605.819
0.82,5061.98,148.388,565.25,-673.652
0.84,5073.16,134.289,559.917,-739.796
0.86,5084.56,118.819,586.917,-802.241
0.88,5096.74,102.243,634.417,-857.611
0.9,5109.76,84.562,647.333,-908.437
0.92,5122.5,66.054,631.5,-939.594
0.94,5135.28,47.328,668.333,-914.863
0.96,5149.34,29.88,722.917,-828.141
0.98,5164.08,14.738,755.917,-662.876
1,5179.4,4.082,759.833,-380.901
1.02,5194.34,0.031,741.833,-13.047
1.04,5209.06,3.645,730.833,367.399
1.06,5223.32,14.379,675.833,697.993
1.08,5235.84,30.69,573.25,882.082
1.1,5246.38,48.871,500,939.854
1.12,5255.96,67.877,447.833,945.371
1.14,5264.28,86.306,388.417,891.17
1.16,5271.56,103.287,341.75,801.008
1.18,5277.96,118.274,293,700.33
1.2,5283.38,131.376,261,612.7
1.22,5288.52,142.935,249.917,551.813
1.24,5293.4,153.529,239.417,502.545
1.26,5298.14,163.063,236.917,455.744
1.28,5302.88,171.787,230.583,413.421
1.3,5307.5,179.623,252,375.383
1.32,5312.94,186.789,266.167,335.398
1.34,5318.14,192.99,276,287.298
1.36,5324.12,198.224,311.75,231.474
1.38,5330.7,202.15,363.75,161.63
1.4,5338.6,204.518,400.583,59.264
1.42,5346.68,204.549,429.083,-31.482
1.44,5355.82,203.194,472.5,-133.588
1.46,5365.48,199.112,496.75,-256.595
1.48,5375.6,193.083,504.417,-347.212
1.5,5385.7,185.247,521.833,-439.061
1.52,5396.52,175.604,549.5,-516.176
1.54,5407.6,164.652,560,-584.853
1.56,5418.92,152.204,574.75,-656.71
1.58,5430.5,138.417,569.417,-723.309
1.6,5441.78,123.337,580.25,-777.835
1.62,5453.82,107.307,612.833,-833.334
1.64,5466.22,89.999,628.333,-893.182
1.66,5478.94,71.709,642.167,-934.791
1.68,5491.94,52.921,659.833,-926.287
1.7,5505.46,35.037,701.5,-862.284
1.72,5520.02,18.928,746.667,-725.256
