%Time (s),Wheel Position (deg),Slide position (mm),Wheel Speed (deg/s),Slide Speed (mm/s)
1.74,5535.22,6.714,776.083,-478.657
1.76,5550.82,0.405,761.167,-130.732
1.78,5565.6,1.729,743.583,256.271
1.8,5580.38,10.422,697.417,607.247
1.82,5593.24,25.347,602.5,851.444
1.84,5604.56,43.605,530.167,953.225
1.86,5614.44,62.845,452.75,959.197
1.88,5622.74,81.633,385.25,918.822
1.9,5630.02,99.361,349.083,843.785
1.92,5636.74,115.221,316.167,741.224
1.94,5642.66,129.039,278.917,645.74
1.96,5647.98,141.159,256.75,567.651
1.98,5653,151.893,245.333,514.424
2,5657.84,161.817,240.417,474.049
2.02,5662.66,170.837,243.083,427.832
2.04,5667.56,178.938,242.833,383.692
2.06,5672.42,186.182,247.667,338.773
2.08,5677.64,192.491,285.833,296.581
2.1,5683.86,197.959,322.667,240.108
2.12,5690.48,201.979,342.667,164.551
2.14,5697.7,204.456,390.5,77.31
2.16,5706.12,204.97,441.833,-26.094
2.18,5715.26,203.334,471,-143.909
2.2,5724.92,199.268,497.167,-250.558
2.22,5735.06,193.379,505.917,-345.459
2.24,5745.2,185.465,524.667,-441.788
2.26,5756.08,175.822,551.083,-516.696
2.28,5767.16,164.839,559.833,-586.216
2.3,5778.48,152.376,574.167,-657.424
2.32,5790.04,138.589,568.917,-720.583
2.34,5801.32,123.602,580,-775.238
2.36,5813.34,107.587,611.083,-829.764
2.38,5825.68,90.419,625.25,-885.263
2.4,5838.26,72.27,617.917,-931.091
2.42,5850.62,53.529,654.5,-917.2
2.44,5864.56,35.925,713.333,-853.976
2.46,5879,19.785,738.833,-734.409
2.48,5894.1,7.275,771.417,-496.119
2.5,5909.62,0.592,758.583,-152.347
2.52,5924.38,1.449,743.5,233.811
2.54,5939.18,9.737,700.667,588.293
2.56,5952.14,24.318,607.25,837.553
2.58,5963.54,42.359,534.667,942.969
2.6,5973.52,61.411,456.333,955.043
2.62,5981.9,80.168,396.75,910.124
2.64,5989.5,97.585,356.583,831.387
2.66,5996.16,113.32,312.417,737.784
2.68,6002.02,127.092,270.083,643.013
2.7,6007.08,139.149,247.917,567.002
2.72,6012.04,149.899,243.083,511.113
2.74,6016.82,159.698,238,472.166
2.76,6021.6,168.811,240.417,436.27
2.78,6026.44,177.131,240.333,396.544
2.8,6031.3,184.655,255.667,354.287
2.82,6036.74,191.276,283.167,309.044
2.84,6042.64,196.947,309.75,252.506
2.86,6049.2,201.293,350.167,184.284
2.88,6056.64,204.191,386.5,95.225
2.9,6064.7,205.001,430.917,-8.309
2.92,6073.88,203.755,477.583,-130.602
2.94,6083.7,199.798,506.417,-249.13
2.96,6094.02,193.909,513.333,-344.68
2.98,6104.28,186.026,531.417,-442.632
3,6115.32,176.305,559.25,-522.667
3.02,6126.56,165.197,567.917,-589.137
3.04,6138.04,152.719,581.75,-663.006
3.06,6149.74,138.729,575.5,-727.918
3.08,6161.14,123.68,585.333,-777.121
3.1,6173.24,107.587,614.833,-842.162
3.12,6185.56,90.092,602.167,-889.158
3.14,6197.54,72.145,636.333,-919.991
3.16,6211.02,53.544,668.167,-912.786
3.18,6224.2,36.003,683.083,-848.328
3.2,6238.48,20.019,729.5,-728.502
3.22,6253.28,7.54,757.667,-499.559
3.24,6268.58,0.685,748.417,-164.616
3.26,6283.16,1.231,737.5,215.182
3.28,6297.9,9.051,701.167,555.318
3.3,6310.84,22.823,589.333,797.048
3.32,6321.74,40.146,541.5,912.331
3.34,6332.44,58.701,477.167,934.206
3.36,6340.74,77.115,392.167,897.856
3.38,6348.32,94.361,347.167,823.467
3.4,6354.66,109.939,302.167,732.526
3.42,6360.48,123.664,269.667,643.078
3.44,6365.5,135.738,243.25,564.99
3.46,6370.32,146.409,236.833,511.827
3.48,6375,156.302,233.25,472.815
3.5,6379.64,165.337,224.583,434.518
3.52,6384.08,173.688,235.333,396.35
3.54,6389.06,181.212,244.417,362.531
3.56,6393.88,188.176,255,328.128
3.58,6399.38,194.236,287.333,274.835
3.6,6405.44,199.128,331.083,218.492
3.62,6412.58,202.867,365.667,144.558
3.64,6420.02,204.783,389.083,50.436
3.66,6428.26,204.783,438.25,-59.978
3.68,6437.5,202.353,478.417,-176.235
3.7,6447.24,197.819,487.083,-275.355
3.72,6457.04,191.37,510,-371.553
3.74,6467.68,183.004,542.25,-462.105
3.76,6478.62,173.002,553.667,-530.587
3.78,6489.74,161.785,548.417,-600.821
3.8,6500.64,148.964,560.25,-674.625
3.82,6512.22,134.896,585.833,-729.411
3.84,6524,119.801,594.583,-783.482
3.86,6536.02,103.536,610.833,-843.46
3.88,6548.34,86.119,604.833,-894.61
3.9,6560.34,67.877,621.833,-930.831
3.92,6573.4,49.229,674.833,-911.942
3.94,6587.26,31.812,709.25,-830.737
3.96,6601.74,16.467,743.333,-683.778
3.98,6616.84,5.157,748,-423.937
4,6631.64,0.093,754.667,-68.287
4.02,6646.94,2.57,754.25,309.368
4.04,6661.42,12.167,682.75,640.677
4.06,6674.06,27.497,577.667,861.311
4.08,6684.74,45.739,520.5,936.608
4.1,6694.86,64.434,454.583,936.478
4.12,6702.9,82.879,379.417,891.754
4.14,6710.24,99.86,346.833,808.018
4.16,6716.72,115.127,296.25,715.649
4.18,6722.18,128.494,261.917,624.254
4.2,6727.32,140.193,249.5,547.529
4.22,6732.18,150.569,237.5,501.052
4.24,6736.84,160.321,227.083,468.077
4.26,6741.34,169.263,229.917,427.312
4.28,6746.1,177.411,243,386.353
4.3,6751.08,184.733,257.5,349.224
4.32,6756.44,191.354,279.417,309.173
4.34,6762.26,196.993,298.333,249.325
4.36,6768.48,201.293,336.167,190.126
4.38,6775.8,204.409,391.167,96.523
4.4,6784.08,205.048,437.833,-12.917
4.42,6793.18,203.864,456.75,-125.474
4.44,6802.44,200.031,499.417,-239.069
4.46,6813.06,194.392,523.083,-335.008
4.48,6823.26,186.649,523.917,-431.856
4.5,6834.2,177.208,568.083,-512.541
4.52,6845.82,166.21,578.833,-577.128
4.54,6857.2,153.887,559.417,-703.706
4.56,6868.34,138.589,570.583,-720.842
4.58,6880.1,125.129,594.833,-724.153
4.6,6892.08,109.145,608.917,-830.997
4.62,6904.36,92.133,605.25,-878.058
4.64,6916.28,74.061,594.333,-934.336
4.66,6928.44,55.196,644,-912.461
4.68,6942.08,37.888,700.333,-843.59
4.7,6956.2,21.732,694.333,-744.016
4.72,6970.28,8.818,796,-529.353
4.74,6987.4,1.2,760.333,-212.066
4.76,7000.64,0.67,726.25,159.682
4.78,7016.6,7.447,741.167,510.075
4.8,7029.58,20.47,606.667,762.84
4.82,7041.04,37.187,521.25,890.91
4.84,7050.56,55.507,454.083,929.143
4.86,7059.34,73.921,411.833,903.049
4.88,7067,91.354,358.167,836.19
4.9,7073.72,107.229,315.417,748.17
4.92,7079.64,121.281,273.5,662.357
4.94,7084.76,133.775,248.333,583.944
4.96,7089.68,144.758,241.25,525.134
4.98,7094.44,154.9,238.333,486.642
5,7099.18,164.247,224.75,449.772
5.02,7103.56,172.893,236.333,413.162
5.04,7108.7,180.76,259.083,374.15
5.06,7113.88,187.849,269.417,335.333
5.08,7119.56,194.096,297.583,282.819
5.1,7125.78,199.097,321.583,221.868
5.12,7132.48,202.867,353.917,144.558
5.14,7140.06,204.767,410.333,50.631
5.16,7148.86,204.767,461.667,-64.457
5.18,7158.34,202.15,475.417,-186.426
5.2,7167.92,197.398,501.25,-290.414
5.22,7178.44,190.559,538.917,-393.818
5.24,7189.36,181.742,554.75,-480.021
5.26,7200.52,171.413,545.167,-558.693
5.28,7211.42,159.433,593.25,-631.589
5.3,7224.08,146.176,607.5,-701.823
5.32,7235.46,131.422,565.417,-761.282
5.34,7247.04,115.766,600.25,-813.406
5.36,7259.4,98.863,612.75,-873.125
5.38,7271.54,80.916,620.667,-922.133
5.4,7284.4,62.175,664,-942.32
5.42,7298.08,43.574,699.333,-908.631
5.44,7312.36,26.281,735.417,-808.668
5.46,7327.38,11.84,748.083,-615.621
5.48,7342.3,2.384,767.75,-305.084
5.5,7358.06,0.14,790.75,88.409
5.52,7373.54,5.904,744.333,480.605
5.54,7387.52,18.788,643.25,779.392
5.56,7399.34,36.221,560.833,938.88
5.58,7410.08,55.616,500.833,986.72
5.6,7419.42,75.199,447,963.222
5.62,7427.96,93.8,392.333,887.405
5.64,7435.1,110.516,332.917,783.936
5.66,7441.36,125.175,287.5,686.374
5.68,7446.72,138.059,260.833,602.573
5.7,7451.92,149.416,256,541.427
5.72,7456.98,159.823,251.083,497.806
5.74,7462,169.341,253.583,453.731
5.76,7467.1,177.987,247.333,413.746
5.78,7472.02,185.839,263.833,363.764
5.8,7477.78,192.507,304.417,310.277
5.82,7484.12,198.193,322,249.844
5.84,7490.84,202.353,378.333,163.642
5.86,7499.22,204.643,425.583,64.782
5.88,7507.78,204.83,455.5,-52.903
5.9,7517.5,202.462,504.083,-182.142
5.92,7527.76,197.601,513,-300.41
5.94,7538.08,190.528,537.833,-405.762
5.96,7549.3,181.461,569.583,-497.741
5.98,7560.74,170.728,575.833,-570.767
6,7572.34,158.654,588.667,-642.299
6.02,7584.2,145.054,582.083,-712.274
6.04,7595.7,130.223,590.417,-771.149
6.06,7607.92,114.223,619.167,-828.595
6.08,7620.4,97.087,634.583,-886.886
6.1,7633.2,78.829,626.5,-935.634
6.12,7645.64,59.916,653.25,-943.683
6.14,7659.48,41.408,708.25,-904.217
6.16,7673.86,24.209,737.5,-797.827
6.18,7688.98,10.189,774.917,-582.191
6.2,7704.64,1.636,767.167,-251.013
6.22,7719.74,0.545,787,145.726
6.24,7735.82,7.306,756.083,512.736
6.26,7749.54,20.58,640.75,810.875
6.28,7761.58,38.853,562.333,963.676
6.3,7772.04,58.311,479.75,985.357
6.32,7780.86,77.878,410.75,957.185
6.34,7788.64,96.292,372.667,880.525
6.36,7795.8,112.977,338,787.377
6.38,7802.12,127.777,290.167,692.865
6.4,7807.58,140.785,276.083,614.322
6.42,7813.24,152.469,273.917,555.707
6.44,7818.5,163.078,260.5,507.478
6.46,7823.74,172.753,263.833,454.835
6.48,7829.06,181.259,262.833,399.271
6.5,7834.4,188.752,290.917,351.755
6.52,7840.7,195.249,315.333,289.765
6.54,7847.04,200.249,341.25,213.818
6.56,7854.5,203.692,399.333,120.606
6.58,7862.9,204.985,430.833,14.605
6.6,7871.74,204.191,466.167,-106.26
6.62,7881.56,200.732,506.167,-227.58
6.64,7891.9,195.171,529.25,-333.645
6.66,7902.7,187.444,551.583,-432.96
6.68,7913.84,177.956,548.417,-514.489
6.7,7924.7,166.926,558.917,-586.411
6.72,7936.28,154.51,586.667,-658.397
6.74,7948.08,140.614,597.417,-727.463
6.76,7960.08,125.471,586.417,-786.403
6.78,7971.72,109.207,616.583,-837.229
6.8,7984.66,91.993,625,-882.147
6.82,7996.74,73.719,634.5,-989.9
6.84,8010.24,53.279,689.583,-924.47
6.86,8024.08,37.077,687.333,-810.68
6.88,8037.88,20.735,718.333,-753.038
6.9,8052.9,7.93,768.25,-513.904
6.92,8068.4,0.826,778.25,-177.014
6.94,8083.86,1.137,769.167,205.51
6.96,8098.78,8.88,689.083,563.821
6.98,8111.34,23.041,598.083,818.469
7,8122.86,40.738,541.25,925.703
7.02,8132.96,59.573,474.75,967.052
7.04,8141.84,78.969,405.417,939.659
7.06,8149.24,96.791,344.917,851.055
7.08,8155.8,112.962,314.5,762.321
7.1,8161.86,127.263,287.083,668.718
7.12,8167.32,139.788,265.25,587.514
