%Time (s),Wheel Position (deg),Slide position (mm),Wheel Speed (deg/s),Slide Speed (mm/s)
2.5,7270.78,80.901,886.083,-1280.314
2.52,7288.72,55.507,891,-1275.706
2.54,7306.7,30.721,949.75,-1153.932
2.56,7326.86,10.843,1040.333,-791.206
2.58,7347.96,0.53,1071.333,-192.398
2.6,7369.12,3.864,999.667,532.729
2.62,7387.66,21.062,883.583,1126.085
2.64,7404.54,47.25,789.083,1437.465
2.66,7419.26,77.364,697,1587.151
2.68,7432.54,109.285,617,1491.536
2.7,7444.38,136.423,621.167,1309.59
2.72,7457.42,161.754,620.667,1178.988
2.74,7469.22,182.817,612.667,906.944
2.76,7482.3,197.476,681.083,545.386
2.78,7496.38,204.534,725.583,172.73
2.8,7511.24,204.596,759.917,-165.979
2.82,7526.6,198.318,762.083,-437.633
2.84,7541.68,187.584,755.167,-628.343
2.86,7557,173.469,787.917,-776.991
2.88,7573.2,156.613,819.167,-914.279
2.9,7589.66,137.031,825.5,-1030.73
2.92,7606.36,115.501,870.667,-1130.174
2.94,7624.16,91.946,846.417,-1215.338
2.96,7640.24,67.176,819.417,-1261.49
2.98,7657.56,42.109,917,-1220.596
3,7676.9,19.567,1001.083,-990.809
3.02,7697.36,4.019,1044.25,-513.255
3.04,7718.38,0.249,1048.667,167.342
3.06,7738.78,10.749,961.333,860.142
3.08,7756.58,33.245,833.25,1311.407
3.1,7772.24,61.552,736,1495.496
3.12,7786.08,91.93,640.5,1513.477
3.14,7798.14,121.312,592.25,1414.292
3.16,7810.06,148.092,592.25,1262.659
3.18,7821.94,171.413,605.667,1053.968
3.2,7834.34,189.703,620.167,756.609
3.22,7847.02,201.246,688.583,384.666
3.24,7861.86,205.172,755.5,32.261
3.26,7876.84,202.851,739.417,-268.539
3.28,7891.58,194.797,762.667,-515.138
3.3,7907.32,182.692,777.417,-687.608
3.32,7922.66,167.534,786.75,-825.35
3.34,7938.9,149.774,821.25,-953.031
3.36,7955.4,129.537,830.5,-1060.265
3.38,7972.14,107.447,845.25,-1158.216
3.4,7989.26,83.378,868.167,-1233.643
3.42,8006.92,58.467,900.333,-1260.581
3.44,8025.28,33.775,928.083,-1167.693
3.46,8044.22,13.164,992.167,-852.288
3.48,8064.92,1.2,1055.667,-290.349
3.5,8085.92,2.415,1026.583,419.913
3.52,8105.52,17.464,923.75,1042.089
3.54,8122.64,42.499,780.25,1401.569
3.56,8136.98,71.771,687.583,1460.898
3.58,8150.34,100.499,623.75,1494.133
3.6,8162.1,130.846,581.917,1423.509
3.62,8173.9,156.504,589.833,1186.323
3.64,8185.8,178.174,610.833,961.339
3.66,8198.38,194.407,635,636.912
3.68,8211.34,203.35,684.917,261.528
3.7,8225.82,205.048,744.583,-80.166
3.72,8240.94,200.53,770.667,-359.61
3.74,8256.48,191.089,766.167,-572.39
3.76,8271.66,177.987,778,-729.086
3.78,8287.7,162.081,811,-866.374
3.8,8303.98,143.449,817.083,-987.434
3.82,8320.4,122.714,828.25,-1087.073
3.84,8337.16,100.031,848.25,-1182.623
3.86,8354.36,75.635,873.917,-1246.496
