%Time [ms],Commanded Torque [mNm],Angular Velocity [RPM],Actual Current [Amp],%3/6/20209:42 AM
0,0,0,0,
20,1,-13.672,0.003,
30,1,-13.672,0.003,
40,1,-13.672,0.003,
50,1,9.766,0.019,
60,1,9.766,0.019,
70,1,9.766,0.019,
80,1,25.391,0.016,
90,1,25.391,0.016,
100,1,25.391,0.016,
110,1,41.016,0.003,
120,1,41.016,0.003,
130,1,41.016,0.003,
140,1,-3.906,-0.004,
150,1,-3.906,-0.004,
160,1,-3.906,-0.004,
170,1,9.766,-0.012,
180,1,9.766,-0.012,
190,1,9.766,-0.012,
200,1,27.344,-0.008,
210,1,27.344,-0.008,
220,1,27.344,-0.008,
230,1,13.672,-0.019,
240,1,13.672,-0.019,
250,1,13.672,-0.019,
260,1,27.344,-0.005,
270,1,27.344,-0.005,
280,1,27.344,-0.005,
290,1,13.672,-0.007,
300,1,13.672,-0.007,
310,1,13.672,-0.007,
320,1,0,-0.009,
330,1,0,-0.009,
340,1,0,-0.009,
350,1,-7.812,-0.009,
360,1,-7.812,-0.009,
370,1,-7.812,-0.009,
380,1,-7.812,0.002,
390,1,-7.812,0.002,
400,1,-7.812,0.002,
410,1,5.859,-0.025,
420,1,5.859,-0.025,
430,1,5.859,-0.025,
440,1,25.391,-0.002,
450,1,25.391,-0.002,
460,1,25.391,-0.002,
470,1,21.484,0.002,
480,1,21.484,0.002,
490,1,21.484,0.002,
500,1,11.719,0.01,
510,1,11.719,0.01,
520,1,11.719,0.01,
530,1,15.625,0.015,
540,1,15.625,0.015,
550,1,15.625,0.015,
560,1,25.391,-0.022,
570,1,25.391,-0.022,
580,1,25.391,-0.022,
590,1,41.016,0,
600,1,41.016,0,
610,1,41.016,0,
620,1,19.531,0.002,
630,1,19.531,0.002,
640,1,19.531,0.002,
650,1,7.812,0.008,
660,1,7.812,0.008,
670,1,7.812,0.008,
680,1,-17.578,0.011,
690,1,-17.578,0.011,
700,1,-17.578,0.011,
710,1,17.578,-0.026,
720,1,17.578,-0.026,
730,1,17.578,-0.026,
740,1,13.672,0.013,
750,1,13.672,0.013,
760,1,13.672,0.013,
770,1,23.437,-0.009,
780,1,23.437,-0.009,
790,1,23.437,-0.009,
800,1,46.875,-0.006,
810,1,46.875,-0.006,
820,1,46.875,-0.006,
830,1,-19.531,0.004,
840,1,-19.531,0.004,
850,1,-19.531,0.004,
860,1,23.437,-0.022,
870,1,23.437,-0.022,
880,1,23.437,-0.022,
890,1,13.672,-0.015,
900,1,13.672,-0.015,
910,1,13.672,-0.015,
920,1,23.437,-0.021,
930,1,23.437,-0.021,
940,1,23.437,-0.021,
950,1,31.25,0.011,
960,1,31.25,0.011,
970,1,31.25,0.011,
980,1,44.922,0.015,
990,1,44.922,0.015,
1000,1,44.922,0.015,
1010,1,3.906,-0.011,
1020,1,3.906,-0.011,
1030,1,3.906,-0.011,
1040,1,23.437,0.019,
1050,1,23.437,0.019,
1060,1,23.437,0.019,
1070,1,-7.812,0.005,
1080,1,-7.812,0.005,
1090,1,-7.812,0.005,
1100,1,23.437,-0.016,
1110,1,23.437,-0.016,
1120,1,23.437,-0.016,
1130,1,9.766,0.009,
1140,1,9.766,0.009,
1150,1,9.766,0.009,
1160,1,11.719,0.051,
1170,1,11.719,0.051,
1180,1,11.719,0.051,
1190,1,3.906,0.012,
1200,1,3.906,0.012,
1210,1,3.906,0.012,
1220,1,-13.672,0.044,
1230,1,-13.672,0.044,
1240,1,-13.672,0.044,
1250,1,9.766,0.046,
1260,1,9.766,0.046,
1270,1,9.766,0.046,
1280,1,-3.906,0.028,
1290,1,-3.906,0.028,
1300,1,-3.906,0.028,
1310,1,-3.906,0.037,
1320,1,-3.906,0.037,
1330,1,-3.906,0.037,
1340,1,7.812,0.029,
1350,1,7.812,0.029,
1360,1,7.812,0.029,
1370,1,31.25,0.029,
1380,1,31.25,0.029,
1390,1,31.25,0.029,
1400,1,27.344,0.03,
1410,1,27.344,0.03,
1420,1,27.344,0.03,
1430,1,3.906,0.027,
1440,1,3.906,0.027,
1450,1,3.906,0.027,
1460,1,-1.953,0.058,
1470,1,-1.953,0.058,
1480,1,-1.953,0.058,
1490,1,25.391,0.055,
1500,1,25.391,0.055,
1510,1,25.391,0.055,
1520,1,-9.766,0.055,
1530,1,-9.766,0.055,
1540,1,-9.766,0.055,
1550,1,25.391,0.05,
1560,1,25.391,0.05,
1570,1,25.391,0.05,
1580,1,9.766,0.02,
1590,1,9.766,0.02,
1600,1,9.766,0.02,
1610,1,-7.812,0.055,
1620,1,-7.812,0.055,
1630,1,-7.812,0.055,
1640,1,-11.719,0.03,
1650,1,-11.719,0.03,
1660,1,-11.719,0.03,
1670,1,21.484,0.058,
1680,1,21.484,0.058,
1690,1,21.484,0.058,
1700,1,5.859,0.016,
1710,1,5.859,0.016,
1720,1,5.859,0.016,
1730,1,15.625,0.021,
1740,1,15.625,0.021,
1750,1,15.625,0.021,
1760,1,17.578,0.054,
1770,1,17.578,0.054,
1780,1,17.578,0.054,
1790,1,15.625,0.022,
1800,1,15.625,0.022,
1810,1,15.625,0.022,
1820,1,25.391,0.04,
1830,1,25.391,0.04,
1840,1,25.391,0.04,
1850,1,23.437,0.059,
1860,1,23.437,0.059,
1870,1,23.437,0.059,
1880,1,41.016,0.045,
1890,1,41.016,0.045,
1900,1,41.016,0.045,
1910,1,7.812,0.034,
1920,1,7.812,0.034,
1930,1,7.812,0.034,
1940,1,0,0.04,
1950,1,0,0.04,
1960,1,0,0.04,
1970,1,33.203,0.055,
1980,1,33.203,0.055,
1990,1,33.203,0.055,
2000,1,17.578,0.05,
2010,1,17.578,0.05,
2020,1,17.578,0.05,
2030,1,31.25,0.029,
2040,1,31.25,0.029,
2050,1,31.25,0.029,
2060,1,31.25,0.036,
2070,1,31.25,0.036,
2080,1,31.25,0.036,
2090,1,7.812,0.021,
2100,1,7.812,0.021,
2110,1,7.812,0.021,
2120,1,42.969,0.028,
2130,1,42.969,0.028,
2140,1,42.969,0.028,
2150,1,25.391,0.03,
2160,1,25.391,0.03,
2170,1,25.391,0.03,
2180,1,29.297,0.037,
2190,1,29.297,0.037,
2200,1,29.297,0.037,
2210,1,23.437,0.051,
2220,1,23.437,0.051,
2230,1,23.437,0.051,
2240,1,31.25,0.052,
2250,1,31.25,0.052,
2260,1,31.25,0.052,
2270,1,23.437,0.044,
2280,1,23.437,0.044,
2290,1,23.437,0.044,
2300,1,5.859,0.047,
2310,1,5.859,0.047,
2320,1,5.859,0.047,
2330,1,33.203,0.022,
2340,1,33.203,0.022,
2350,1,33.203,0.022,
2360,1,1.953,0.037,
2370,1,1.953,0.037,
2380,1,1.953,0.037,
2390,1,25.391,0.062,
2400,1,25.391,0.062,
2410,1,25.391,0.062,
2420,1,-17.578,0.045,
2430,1,-17.578,0.045,
2440,1,-17.578,0.045,
2450,1,0,0.04,
2460,1,0,0.04,
2470,1,0,0.04,
2480,1,21.484,0.02,
2490,1,21.484,0.02,
2500,1,21.484,0.02,
2510,1,17.578,0.056,
2520,1,17.578,0.056,
2530,1,17.578,0.056,
2540,1,0,0.026,
2550,1,0,0.026,
2560,1,0,0.026,
2570,1,7.812,0.055,
2580,1,7.812,0.055,
2590,1,7.812,0.055,
2600,1,41.016,0.037,
2610,1,41.016,0.037,
2620,1,41.016,0.037,
2630,1,5.859,0.033,
2640,1,5.859,0.033,
2650,1,5.859,0.033,
2660,1,23.437,0.039,
2670,1,23.437,0.039,
2680,1,23.437,0.039,
2690,1,31.25,0.047,
2700,1,31.25,0.047,
2710,1,31.25,0.047,
2720,1,15.625,0.031,
2730,1,15.625,0.031,
2740,1,15.625,0.031,
2750,1,44.922,0.039,
2760,1,44.922,0.039,
2770,1,44.922,0.039,
2780,1,1.953,0.029,
2790,1,1.953,0.029,
2800,1,1.953,0.029,
2810,1,27.344,0.056,
2820,1,27.344,0.056,
2830,1,27.344,0.056,
2840,1,41.016,0.047,
2850,1,41.016,0.047,
2860,1,41.016,0.047,
2870,1,-15.625,0.031,
2880,1,-15.625,0.031,
2890,1,-15.625,0.031,
2900,1,17.578,0.026,
2910,1,17.578,0.026,
2920,1,17.578,0.026,
2930,1,13.672,0.048,
2940,1,13.672,0.048,
2950,1,13.672,0.048,
2960,1,5.859,0.028,
2970,1,5.859,0.028,
2980,1,5.859,0.028,
2990,1,27.344,0.051,
3000,1,27.344,0.051,
3010,1,27.344,0.051,
3020,1,-3.906,0.03,
3030,1,-3.906,0.03,
3040,1,-3.906,0.03,
3050,1,23.437,0.042,
3060,1,23.437,0.042,
3070,1,23.437,0.042,
3080,1,25.391,0.05,
3090,1,25.391,0.05,
3100,1,25.391,0.05,
3110,1,3.906,0.03,
3120,1,3.906,0.03,
3130,1,3.906,0.03,
3140,1,15.625,0.042,
3150,1,15.625,0.042,
3160,1,15.625,0.042,
3170,1,3.906,0.021,
3180,1,3.906,0.021,
3190,1,3.906,0.021,
3200,1,31.25,0.024,
3210,1,31.25,0.024,
3220,1,31.25,0.024,
3230,1,29.297,0.038,
3240,1,29.297,0.038,
3250,1,29.297,0.038,
3260,1,5.859,0.047,
3270,1,5.859,0.047,
3280,1,5.859,0.047,
3290,1,29.297,0.039,
3300,1,29.297,0.039,
3310,1,29.297,0.039,
3320,1,5.859,0.05,
3330,1,5.859,0.05,
3340,1,5.859,0.05,
3350,1,48.828,0.04,
3360,1,48.828,0.04,
3370,1,48.828,0.04,
3380,1,0,0.049,
3390,1,0,0.049,
3400,1,0,0.049,
3410,1,46.875,0.023,
3420,1,46.875,0.023,
3430,1,46.875,0.023,
3440,1,37.109,0.052,
3450,1,37.109,0.052,
3460,1,37.109,0.052,
3470,1,9.766,0.019,
3480,1,9.766,0.019,
3490,1,9.766,0.019,
3500,1,1.953,0.024,
3510,1,1.953,0.024,
3520,1,1.953,0.024,
3530,1,-9.766,0.024,
3540,1,-9.766,0.024,
3550,1,-9.766,0.024,
3560,1,9.766,0.037,
3570,1,9.766,0.037,
3580,1,9.766,0.037,
3590,1,37.109,0.052,
3600,1,37.109,0.052,
3610,1,37.109,0.052,
3620,1,5.859,0.053,
3630,1,5.859,0.053,
3640,1,5.859,0.053,
3650,1,-13.672,0.033,
3660,1,-13.672,0.033,
3670,1,-13.672,0.033,
3680,1,35.156,0.058,
3690,1,35.156,0.058,
3700,1,35.156,0.058,
3710,1,21.484,0.045,
3720,1,21.484,0.045,
3730,1,21.484,0.045,
3740,1,-7.812,0.052,
3750,1,-7.812,0.052,
3760,1,-7.812,0.052,
3770,1,-9.766,0.039,
3780,1,-9.766,0.039,
3790,1,-9.766,0.039,
3800,1,21.484,0.051,
3810,1,21.484,0.051,
3820,1,21.484,0.051,
3830,1,27.344,0.039,
3840,1,27.344,0.039,
3850,1,27.344,0.039,
3860,1,-9.766,0.05,
3870,1,-9.766,0.05,
3880,1,-9.766,0.05,
3890,1,13.672,0.027,
3900,1,13.672,0.027,
3910,1,13.672,0.027,
3920,1,39.062,0.046,
3930,1,39.062,0.046,
3940,1,39.062,0.046,
3950,1,13.672,0.036,
3960,1,13.672,0.036,
3970,1,13.672,0.036,
3980,1,13.672,0.026,
3990,1,13.672,0.026,
4000,1,13.672,0.026,
4010,1,17.578,0.016,
4020,1,17.578,0.016,
4030,1,17.578,0.016,
4040,1,7.812,0.027,
4050,1,7.812,0.027,
4060,1,7.812,0.027,
4070,1,25.391,0.031,
4080,1,25.391,0.031,
4090,1,25.391,0.031,
4100,1,41.016,0.043,
4110,1,41.016,0.043,
4120,1,41.016,0.043,
4130,1,9.766,0.031,
4140,1,9.766,0.031,
4150,1,9.766,0.031,
4160,1,1.953,0.034,
4170,1,1.953,0.034,
4180,1,1.953,0.034,
4190,1,46.875,0.048,
4200,1,46.875,0.048,
4210,1,46.875,0.048,
4220,1,35.156,0.056,
4230,1,35.156,0.056,
4240,1,35.156,0.056,
4250,1,19.531,0.044,
4260,1,19.531,0.044,
4270,1,19.531,0.044,
4280,1,19.531,0.034,
4290,1,19.531,0.034,
4300,1,19.531,0.034,
4310,1,25.391,0.036,
4320,1,25.391,0.036,
4330,1,25.391,0.036,
4340,1,37.109,0.046,
4350,1,37.109,0.046,
4360,1,37.109,0.046,
4370,1,29.297,0.035,
4380,1,29.297,0.035,
4390,1,29.297,0.035,
4400,1,-1.953,0.028,
4410,1,-1.953,0.028,
4420,1,-1.953,0.028,
4430,1,42.969,0.039,
4440,1,42.969,0.039,
4450,1,42.969,0.039,
4460,1,23.437,0.04,
4470,1,23.437,0.04,
4480,1,23.437,0.04,
4490,1,-15.625,0.051,
4500,1,-15.625,0.051,
4510,1,-15.625,0.051,
4520,1,33.203,0.05,
4530,1,33.203,0.05,
4540,1,33.203,0.05,
4550,1,-21.484,0.032,
4560,1,-21.484,0.032,
4570,1,-21.484,0.032,
4580,1,42.969,0.05,
4590,1,42.969,0.05,
4600,1,42.969,0.05,
4610,1,-13.672,0.031,
4620,1,-13.672,0.031,
4630,1,-13.672,0.031,
4640,1,25.391,0.031,
4650,1,25.391,0.031,
4660,1,25.391,0.031,
4670,1,-17.578,0.054,
4680,1,-17.578,0.054,
4690,1,-17.578,0.054,
4700,1,33.203,0.05,
4710,1,33.203,0.05,
4720,1,33.203,0.05,
4730,1,-23.437,0.034,
4740,1,-23.437,0.034,
4750,1,-23.437,0.034,
4760,1,27.344,0.054,
4770,1,27.344,0.054,
4780,1,27.344,0.054,
4790,1,25.391,0.024,
4800,1,25.391,0.024,
4810,1,25.391,0.024,
4820,1,19.531,0.06,
4830,1,19.531,0.06,
4840,1,19.531,0.06,
4850,1,41.016,0.036,
4860,1,41.016,0.036,
4870,1,41.016,0.036,
4880,1,42.969,0.024,
4890,1,42.969,0.024,
4900,1,42.969,0.024,
4910,1,1.953,0.033,
