%Time [ms],Commanded Torque [mNm],Angular Velocity [RPM],Actual Current [Amp],%3/6/20209:39 AM
0,0,0,0,
20,15,9.766,-0.018,
30,15,9.766,-0.018,
40,15,9.766,-0.018,
50,15,21.484,-0.005,
60,15,21.484,-0.005,
70,15,21.484,-0.005,
80,15,17.578,-0.006,
90,15,17.578,-0.006,
100,15,17.578,-0.006,
110,15,54.687,0.012,
120,15,54.687,0.012,
130,15,54.687,0.012,
140,15,3.906,-0.019,
150,15,3.906,-0.019,
160,15,3.906,-0.019,
170,15,1.953,-0.011,
180,15,1.953,-0.011,
190,15,1.953,-0.011,
200,15,19.531,0.014,
210,15,19.531,0.014,
220,15,19.531,0.014,
230,15,25.391,0.014,
240,15,25.391,0.014,
250,15,25.391,0.014,
260,15,11.719,-0.007,
270,15,11.719,-0.007,
280,15,11.719,-0.007,
290,15,17.578,-0.003,
300,15,17.578,-0.003,
310,15,17.578,-0.003,
320,15,25.391,0.001,
330,15,25.391,0.001,
340,15,25.391,0.001,
350,15,23.437,0.023,
360,15,23.437,0.023,
370,15,23.437,0.023,
380,15,3.906,-0.002,
390,15,3.906,-0.002,
400,15,3.906,-0.002,
410,15,52.734,-0.01,
420,15,52.734,-0.01,
430,15,52.734,-0.01,
440,15,23.437,0,
450,15,23.437,0,
460,15,23.437,0,
470,15,27.344,-0.011,
480,15,27.344,-0.011,
490,15,27.344,-0.011,
500,15,-11.719,0.009,
510,15,-11.719,0.009,
520,15,-11.719,0.009,
530,15,23.437,0.001,
540,15,23.437,0.001,
550,15,23.437,0.001,
560,15,35.156,-0.019,
570,15,35.156,-0.019,
580,15,35.156,-0.019,
590,15,13.672,0.022,
600,15,13.672,0.022,
610,15,13.672,0.022,
620,15,37.109,-0.015,
630,15,37.109,-0.015,
640,15,37.109,-0.015,
650,15,-5.859,0,
660,15,-5.859,0,
670,15,-5.859,0,
680,15,27.344,0.001,
690,15,27.344,0.001,
700,15,27.344,0.001,
710,15,-9.766,0.017,
720,15,-9.766,0.017,
730,15,-9.766,0.017,
740,15,7.812,0.011,
750,15,7.812,0.011,
760,15,7.812,0.011,
770,15,19.531,-0.003,
780,15,19.531,-0.003,
790,15,19.531,-0.003,
800,15,35.156,0.016,
810,15,35.156,0.016,
820,15,35.156,0.016,
830,15,-11.719,0.018,
840,15,-11.719,0.018,
850,15,-11.719,0.018,
860,15,3.906,-0.021,
870,15,3.906,-0.021,
880,15,3.906,-0.021,
890,15,13.672,-0.021,
900,15,13.672,-0.021,
910,15,13.672,-0.021,
920,15,17.578,0.016,
930,15,17.578,0.016,
940,15,17.578,0.016,
950,15,33.203,0.013,
960,15,33.203,0.013,
970,15,33.203,0.013,
980,15,0,-0.008,
990,15,0,-0.008,
1000,15,0,-0.008,
1010,15,7.812,-0.015,
1020,15,7.812,-0.015,
1030,15,7.812,-0.015,
1040,15,5.859,0.009,
1050,15,5.859,0.009,
1060,15,5.859,0.009,
1070,15,-27.344,-0.008,
1080,15,-27.344,-0.008,
1090,15,-27.344,-0.008,
1100,15,35.156,0.244,
1110,15,35.156,0.244,
1120,15,35.156,0.244,
1130,15,0,0.384,
1140,15,0,0.384,
1150,15,0,0.384,
1160,15,64.453,0.41,
1170,15,64.453,0.41,
1180,15,64.453,0.41,
1190,15,130.859,0.466,
1200,15,130.859,0.466,
1210,15,130.859,0.466,
1220,15,148.437,0.452,
1230,15,148.437,0.452,
1240,15,148.437,0.452,
1250,15,175.781,0.449,
1260,15,175.781,0.449,
1270,15,175.781,0.449,
1280,15,234.375,0.441,
1290,15,234.375,0.441,
1300,15,234.375,0.441,
1310,15,253.906,0.475,
1320,15,253.906,0.475,
1330,15,253.906,0.475,
1340,15,292.969,0.468,
1350,15,292.969,0.468,
1360,15,292.969,0.468,
1370,15,279.297,0.441,
1380,15,279.297,0.441,
1390,15,279.297,0.441,
1400,15,351.562,0.453,
1410,15,351.562,0.453,
1420,15,351.562,0.453,
1430,15,369.141,0.439,
1440,15,369.141,0.439,
1450,15,369.141,0.439,
1460,15,410.156,0.43,
1470,15,410.156,0.43,
1480,15,410.156,0.43,
1490,15,449.219,0.469,
1500,15,449.219,0.469,
1510,15,449.219,0.469,
1520,15,451.172,0.465,
1530,15,451.172,0.465,
1540,15,451.172,0.465,
1550,15,503.906,0.446,
1560,15,503.906,0.446,
1570,15,503.906,0.446,
1580,15,546.875,0.465,
1590,15,546.875,0.465,
1600,15,546.875,0.465,
1610,15,589.844,0.453,
1620,15,589.844,0.453,
1630,15,589.844,0.453,
1640,15,613.281,0.463,
1650,15,613.281,0.463,
1660,15,613.281,0.463,
1670,15,644.531,0.468,
1680,15,644.531,0.468,
1690,15,644.531,0.468,
1700,15,648.437,0.429,
1710,15,648.437,0.429,
1720,15,648.437,0.429,
1730,15,707.031,0.452,
1740,15,707.031,0.452,
1750,15,707.031,0.452,
1760,15,705.078,0.443,
1770,15,705.078,0.443,
1780,15,705.078,0.443,
1790,15,779.297,0.462,
1800,15,779.297,0.462,
1810,15,779.297,0.462,
1820,15,822.266,0.462,
1830,15,822.266,0.462,
1840,15,822.266,0.462,
1850,15,816.406,0.443,
1860,15,816.406,0.443,
1870,15,816.406,0.443,
1880,15,855.469,0.442,
1890,15,855.469,0.442,
1900,15,855.469,0.442,
1910,15,892.578,0.44,
1920,15,892.578,0.44,
1930,15,892.578,0.44,
1940,15,931.641,0.449,
1950,15,931.641,0.449,
1960,15,931.641,0.449,
1970,15,978.516,0.476,
1980,15,978.516,0.476,
1990,15,978.516,0.476,
2000,15,1011.719,0.452,
2010,15,1011.719,0.452,
2020,15,1011.719,0.452,
2030,15,1017.578,0.464,
2040,15,1017.578,0.464,
2050,15,1017.578,0.464,
2060,15,1078.125,0.457,
2070,15,1078.125,0.457,
2080,15,1078.125,0.457,
2090,15,1095.703,0.46,
2100,15,1095.703,0.46,
2110,15,1095.703,0.46,
2120,15,1121.094,0.447,
2130,15,1121.094,0.447,
2140,15,1121.094,0.447,
2150,15,1126.953,0.441,
2160,15,1126.953,0.441,
2170,15,1126.953,0.441,
2180,15,1175.781,0.437,
2190,15,1175.781,0.437,
2200,15,1175.781,0.437,
2210,15,1193.359,0.452,
2220,15,1193.359,0.452,
2230,15,1193.359,0.452,
2240,15,1232.422,0.445,
2250,15,1232.422,0.445,
2260,15,1232.422,0.445,
2270,15,1248.047,0.447,
2280,15,1248.047,0.447,
2290,15,1248.047,0.447,
2300,15,1294.922,0.464,
2310,15,1294.922,0.464,
2320,15,1294.922,0.464,
2330,15,1306.641,0.451,
2340,15,1306.641,0.451,
2350,15,1306.641,0.451,
2360,15,1363.281,0.449,
2370,15,1363.281,0.449,
2380,15,1363.281,0.449,
2390,15,1369.141,0.468,
2400,15,1369.141,0.468,
2410,15,1369.141,0.468,
2420,15,1445.312,0.463,
2430,15,1445.312,0.463,
2440,15,1445.312,0.463,
2450,15,1445.312,0.453,
2460,15,1445.312,0.453,
2470,15,1445.312,0.453,
2480,15,1419.922,0.437,
2490,15,1419.922,0.437,
2500,15,1419.922,0.437,
2510,15,1486.328,0.464,
2520,15,1486.328,0.464,
2530,15,1486.328,0.464,
2540,15,1533.203,0.46,
2550,15,1533.203,0.46,
2560,15,1533.203,0.46,
2570,15,1564.453,0.455,
2580,15,1564.453,0.455,
2590,15,1564.453,0.455,
2600,15,1603.516,0.44,
2610,15,1603.516,0.44,
2620,15,1603.516,0.44,
2630,15,1597.656,0.458,
2640,15,1597.656,0.458,
2650,15,1597.656,0.458,
2660,15,1644.531,0.429,
2670,15,1644.531,0.429,
2680,15,1644.531,0.429,
2690,15,1669.922,0.457,
2700,15,1669.922,0.457,
2710,15,1669.922,0.457,
2720,15,1714.844,0.445,
2730,15,1714.844,0.445,
2740,15,1714.844,0.445,
2750,15,1714.844,0.432,
2760,15,1714.844,0.432,
2770,15,1714.844,0.432,
2780,15,1771.484,0.458,
2790,15,1771.484,0.458,
2800,15,1771.484,0.458,
2810,15,1748.047,0.442,
2820,15,1748.047,0.442,
2830,15,1748.047,0.442,
2840,15,1847.656,0.456,
2850,15,1847.656,0.456,
2860,15,1847.656,0.456,
2870,15,1873.047,0.45,
2880,15,1873.047,0.45,
2890,15,1873.047,0.45,
2900,15,1878.906,0.429,
2910,15,1878.906,0.429,
2920,15,1878.906,0.429,
2930,15,1896.484,0.433,
2940,15,1896.484,0.433,
