%Time [ms],Commanded Torque [mNm],Angular Velocity [RPM],Actual Current [Amp],%3/6/20209:37 AM
0,0,0,0,
20,5,9.766,0.006,
30,5,0,0.012,
40,5,0,0.012,
50,5,0,0.012,
60,5,19.531,-0.011,
70,5,19.531,-0.011,
80,5,19.531,-0.011,
90,5,37.109,-0.013,
100,5,37.109,-0.013,
110,5,37.109,-0.013,
120,5,1.953,0.015,
130,5,1.953,0.015,
140,5,1.953,0.015,
150,5,44.922,0.01,
160,5,44.922,0.01,
170,5,44.922,0.01,
180,5,62.5,-0.002,
190,5,62.5,-0.002,
200,5,62.5,-0.002,
210,5,23.437,-0.002,
220,5,23.437,-0.002,
230,5,23.437,-0.002,
240,5,33.203,0.02,
250,5,33.203,0.02,
260,5,33.203,0.02,
270,5,33.203,0,
280,5,33.203,0,
290,5,33.203,0,
300,5,7.812,-0.023,
310,5,7.812,-0.023,
320,5,7.812,-0.023,
330,5,29.297,0.001,
340,5,29.297,0.001,
350,5,29.297,0.001,
360,5,3.906,-0.019,
370,5,3.906,-0.019,
380,5,3.906,-0.019,
390,5,39.062,0.012,
400,5,39.062,0.012,
410,5,39.062,0.012,
420,5,15.625,0.001,
430,5,15.625,0.001,
440,5,15.625,0.001,
450,5,39.062,-0.012,
460,5,39.062,-0.012,
470,5,39.062,-0.012,
480,5,7.812,-0.013,
490,5,7.812,-0.013,
500,5,7.812,-0.013,
510,5,39.062,0.004,
520,5,39.062,0.004,
530,5,39.062,0.004,
540,5,27.344,0.021,
550,5,27.344,0.021,
560,5,27.344,0.021,
570,5,-7.812,0.01,
580,5,-7.812,0.01,
590,5,-7.812,0.01,
600,5,13.672,-0.006,
610,5,13.672,-0.006,
620,5,13.672,-0.006,
630,5,37.109,0.004,
640,5,37.109,0.004,
650,5,37.109,0.004,
660,5,19.531,-0.006,
670,5,19.531,-0.006,
680,5,19.531,-0.006,
690,5,21.484,-0.012,
700,5,21.484,-0.012,
710,5,21.484,-0.012,
720,5,25.391,0.012,
730,5,25.391,0.012,
740,5,25.391,0.012,
750,5,13.672,-0.001,
760,5,13.672,-0.001,
770,5,13.672,-0.001,
780,5,27.344,0.003,
790,5,27.344,0.003,
800,5,27.344,0.003,
810,5,17.578,0.012,
820,5,17.578,0.012,
830,5,17.578,0.012,
840,5,5.859,0.004,
850,5,5.859,0.004,
860,5,5.859,0.004,
870,5,9.766,-0.006,
880,5,9.766,-0.006,
890,5,9.766,-0.006,
900,5,17.578,-0.018,
910,5,17.578,-0.018,
920,5,17.578,-0.018,
930,5,11.719,0.016,
940,5,11.719,0.016,
950,5,11.719,0.016,
960,5,37.109,0.005,
970,5,37.109,0.005,
980,5,37.109,0.005,
990,5,0,0.006,
1000,5,0,0.006,
1010,5,0,0.006,
1020,5,7.812,0.011,
1030,5,7.812,0.011,
1040,5,7.812,0.011,
1050,5,35.156,0.013,
1060,5,35.156,0.013,
1070,5,35.156,0.013,
1080,5,21.484,0.018,
1090,5,21.484,0.018,
1100,5,21.484,0.018,
1110,5,-7.812,0.092,
1120,5,-7.812,0.092,
1130,5,-7.812,0.092,
1140,5,39.062,0.137,
1150,5,39.062,0.137,
1160,5,39.062,0.137,
1170,5,23.437,0.146,
1180,5,23.437,0.146,
1190,5,23.437,0.146,
1200,5,44.922,0.165,
1210,5,44.922,0.165,
1220,5,44.922,0.165,
1230,5,29.297,0.15,
1240,5,29.297,0.15,
1250,5,29.297,0.15,
1260,5,66.406,0.179,
1270,5,66.406,0.179,
1280,5,66.406,0.179,
1290,5,82.031,0.172,
1300,5,82.031,0.172,
1310,5,82.031,0.172,
1320,5,87.891,0.167,
1330,5,87.891,0.167,
1340,5,87.891,0.167,
1350,5,93.75,0.171,
1360,5,93.75,0.171,
1370,5,93.75,0.171,
1380,5,62.5,0.139,
1390,5,62.5,0.139,
1400,5,62.5,0.139,
1410,5,83.984,0.168,
1420,5,83.984,0.168,
1430,5,83.984,0.168,
1440,5,115.234,0.17,
1450,5,115.234,0.17,
1460,5,115.234,0.17,
1470,5,136.719,0.169,
1480,5,136.719,0.169,
1490,5,136.719,0.169,
1500,5,119.141,0.164,
1510,5,119.141,0.164,
1520,5,119.141,0.164,
1530,5,134.766,0.171,
1540,5,134.766,0.171,
1550,5,134.766,0.171,
1560,5,117.187,0.147,
1570,5,117.187,0.147,
1580,5,117.187,0.147,
1590,5,154.297,0.146,
1600,5,154.297,0.146,
1610,5,154.297,0.146,
1620,5,125,0.149,
1630,5,125,0.149,
1640,5,125,0.149,
1650,5,140.625,0.177,
1660,5,140.625,0.177,
1670,5,140.625,0.177,
1680,5,166.016,0.179,
1690,5,166.016,0.179,
1700,5,166.016,0.179,
1710,5,152.344,0.153,
1720,5,152.344,0.153,
1730,5,152.344,0.153,
1740,5,162.109,0.138,
1750,5,162.109,0.138,
1760,5,162.109,0.138,
1770,5,216.797,0.164,
1780,5,216.797,0.164,
1790,5,216.797,0.164,
1800,5,183.594,0.172,
1810,5,183.594,0.172,
1820,5,183.594,0.172,
1830,5,177.734,0.146,
1840,5,177.734,0.146,
1850,5,177.734,0.146,
1860,5,185.547,0.138,
1870,5,185.547,0.138,
1880,5,185.547,0.138,
1890,5,201.172,0.142,
1900,5,201.172,0.142,
1910,5,201.172,0.142,
1920,5,195.312,0.147,
1930,5,195.312,0.147,
1940,5,195.312,0.147,
1950,5,230.469,0.162,
1960,5,230.469,0.162,
1970,5,230.469,0.162,
1980,5,230.469,0.174,
1990,5,230.469,0.174,
2000,5,230.469,0.174,
2010,5,255.859,0.155,
2020,5,255.859,0.155,
2030,5,255.859,0.155,
2040,5,199.219,0.162,
2050,5,199.219,0.162,
2060,5,199.219,0.162,
2070,5,251.953,0.162,
2080,5,251.953,0.162,
2090,5,251.953,0.162,
2100,5,277.344,0.146,
2110,5,277.344,0.146,
2120,5,277.344,0.146,
2130,5,285.156,0.156,
2140,5,285.156,0.156,
2150,5,285.156,0.156,
2160,5,261.719,0.147,
2170,5,261.719,0.147,
2180,5,261.719,0.147,
2190,5,250,0.15,
2200,5,250,0.15,
2210,5,250,0.15,
2220,5,302.734,0.171,
2230,5,302.734,0.171,
2240,5,302.734,0.171,
2250,5,275.391,0.168,
2260,5,275.391,0.168,
2270,5,275.391,0.168,
2280,5,292.969,0.152,
2290,5,292.969,0.152,
2300,5,292.969,0.152,
2310,5,296.875,0.158,
2320,5,296.875,0.158,
2330,5,296.875,0.158,
2340,5,310.547,0.162,
2350,5,310.547,0.162,
2360,5,310.547,0.162,
2370,5,326.172,0.163,
2380,5,326.172,0.163,
2390,5,326.172,0.163,
