%Time [ms],Commanded Torque [mNm],Angular Velocity [RPM],Actual Current [Amp],%3/6/20209:38 AM
6800,10,2314.453,0.017,
6810,10,2292.969,0.001,
6820,10,2292.969,0.001,
6830,10,2292.969,0.001,
6840,10,2287.109,0.005,
6850,10,2287.109,0.005,
6860,10,2287.109,0.005,
6870,10,2273.437,0.014,
6880,10,2273.437,0.014,
6890,10,2273.437,0.014,
6900,10,2228.516,-0.014,
6910,10,2228.516,-0.014,
6920,10,2228.516,-0.014,
6930,10,2218.75,0.002,
6940,10,2218.75,0.002,
6950,10,2218.75,0.002,
6960,10,2222.656,0.009,
6970,10,2222.656,0.009,
6980,10,2222.656,0.009,
6990,10,2189.453,-0.011,
7000,10,2189.453,-0.011,
7010,10,2189.453,-0.011,
7020,10,2173.828,-0.007,
