%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72592.410,297.943,0.849,14.983,95.278,94.335,-8.323,-4.459,-4.062,-2.610,-1.080,-5.709,-6.087,-6.314,-4.019,-1.355,1.374,-6.054,1.780,0.314,-3.109,-4.953,0.000,25.014,7.312,-1.357,-90.055,-60.443
72596.442,297.945,0.849,14.983,95.278,94.495,-8.540,-5.016,-2.886,-2.923,-1.403,-5.917,-6.301,-6.421,-4.354,-0.521,1.479,-6.479,1.675,-1.045,-3.213,-5.291,0.000,24.937,7.322,-1.354,-90.071,-60.454
72588.379,297.942,0.849,14.971,95.120,94.175,-8.215,-5.350,-3.314,-2.401,-1.296,-5.605,-6.087,-6.849,-3.907,-0.521,1.374,-5.311,1.885,0.314,-3.109,-5.742,0.000,24.880,7.332,-1.350,-90.071,-60.443
72592.410,297.943,0.849,14.977,95.199,94.495,-8.431,-5.350,-3.100,-2.714,-1.080,-5.813,-6.407,-6.314,-4.689,-1.146,1.162,-6.479,1.152,0.209,-2.798,-5.854,0.000,24.880,7.373,-1.347,-90.088,-60.443
72592.410,297.947,0.849,14.984,95.278,94.495,-8.756,-3.901,-3.528,-2.297,-1.080,-5.709,-6.514,-6.421,-3.684,-1.459,0.740,-6.160,1.047,-0.105,-3.109,-5.854,0.000,24.783,7.383,-1.344,-90.071,-60.464
72588.379,297.943,0.849,14.984,95.278,94.495,-8.648,-5.239,-3.100,-3.132,-1.619,-5.294,-6.621,-6.742,-4.019,-1.355,0.951,-5.523,1.571,-0.836,-2.798,-5.629,0.000,24.783,7.393,-1.341,-90.071,-60.432
72604.504,297.942,0.849,14.976,95.199,94.015,-8.431,-4.793,-3.635,-2.401,-1.943,-5.190,-6.301,-7.277,-3.684,-0.730,1.268,-6.054,1.361,0.314,-2.902,-4.841,0.000,24.706,7.424,-1.339,-90.071,-60.432
72592.410,297.942,0.849,14.971,95.120,94.495,-8.215,-5.128,-3.635,-1.879,-0.432,-5.605,-5.873,-6.421,-4.242,-0.625,1.796,-6.373,1.675,-0.105,-2.487,-5.629,0.000,24.610,7.454,-1.335,-90.071,-60.454
72596.442,297.942,0.849,14.977,95.199,94.175,-8.323,-4.236,-3.849,-2.610,-0.972,-6.124,-6.621,-6.314,-3.684,-1.251,0.845,-6.373,0.838,-0.209,-3.213,-5.516,0.000,24.552,7.485,-1.334,-90.055,-60.432
72592.410,297.943,0.849,14.971,95.120,94.175,-8.756,-4.570,-3.421,-2.819,-1.296,-5.709,-6.835,-6.421,-3.572,-0.417,1.268,-5.948,1.466,-0.732,-3.213,-5.404,0.000,24.495,7.515,-1.332,-90.055,-60.454
