%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72592.410,297.974,0.849,25.150,268.409,267.531,-8.648,-5.128,-3.100,-2.506,-2.051,-5.917,-6.621,-7.492,-4.354,-0.625,1.796,-6.054,1.047,0.105,-3.213,-5.516,0.000,23.561,28.081,-1.118,-89.969,-65.311
72592.410,297.976,0.849,25.150,268.409,268.012,-8.431,-4.905,-3.314,-2.401,-0.648,-5.917,-5.980,-6.314,-4.689,-1.250,1.479,-6.160,1.675,0.105,-2.798,-5.967,0.000,23.561,28.101,-1.116,-89.953,-65.311
72588.379,297.977,0.849,25.158,268.567,267.852,-8.756,-4.793,-4.062,-2.714,-1.619,-5.917,-6.728,-6.421,-3.907,-1.772,1.373,-5.842,1.466,0.105,-2.798,-5.629,0.000,23.541,28.142,-1.114,-89.986,-65.311
72584.348,297.977,0.849,25.159,268.567,267.852,-8.323,-4.570,-3.314,-2.923,-1.511,-5.813,-6.194,-6.635,-4.242,-0.834,0.740,-6.267,1.466,-0.941,-3.109,-5.291,0.000,23.503,28.173,-1.113,-89.969,-65.300
72584.348,297.977,0.849,25.159,268.567,268.172,-8.540,-5.016,-3.207,-2.192,-1.188,-5.501,-6.301,-6.849,-3.907,-0.729,2.324,-6.054,1.256,0.419,-3.628,-4.728,0.000,23.484,28.213,-1.112,-89.953,-65.311
72588.379,297.977,0.849,25.162,268.646,268.172,-8.323,-4.905,-3.207,-2.819,-1.511,-5.813,-6.301,-6.421,-5.135,-1.042,1.056,-5.948,1.780,-0.105,-2.591,-5.629,0.000,23.464,28.274,-1.111,-89.969,-65.311
72588.379,297.976,0.849,25.165,268.725,268.172,-8.648,-4.459,-3.528,-2.192,-1.511,-5.917,-6.301,-6.421,-3.572,-1.980,1.796,-5.736,1.047,0.105,-2.695,-4.953,0.000,23.426,28.305,-1.109,-89.937,-65.279
72584.348,297.977,0.849,25.170,268.804,268.332,-8.972,-4.793,-3.207,-3.445,-0.756,-5.605,-6.194,-6.421,-3.795,-1.042,1.373,-6.373,1.571,-0.627,-2.695,-5.516,0.000,23.407,28.355,-1.109,-89.969,-65.279
72584.348,297.976,0.849,25.170,268.804,268.332,-8.431,-5.016,-3.421,-2.401,-1.727,-5.813,-6.301,-6.956,-3.349,-1.042,1.056,-6.373,0.628,0.105,-3.938,-5.629,0.000,23.368,28.427,-1.108,-89.937,-65.289
72584.348,297.974,0.849,25.166,268.725,268.652,-8.323,-5.462,-3.742,-3.445,-0.972,-6.124,-5.767,-6.314,-4.577,-1.042,2.007,-5.842,1.256,-0.000,-2.487,-5.854,0.000,23.330,28.477,-1.107,-89.986,-65.311
