%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72495.658,297.198,0.850,15.030,95.979,94.727,-12.757,-6.800,-5.774,-4.698,-3.023,-8.097,-8.009,-8.564,-6.810,-3.440,-1.160,-7.542,-1.255,-2.717,-4.250,-6.982,0.000,47.230,-4.221,-1.574,-89.920,-10.087
72491.626,297.198,0.850,15.042,96.137,94.727,-11.568,-6.912,-5.453,-4.176,-3.779,-8.201,-7.795,-8.029,-6.810,-3.648,-0.316,-8.179,-1.150,-3.135,-4.872,-7.207,0.000,47.268,-4.221,-1.575,-89.936,-10.087
72491.626,297.195,0.850,15.036,96.058,94.887,-12.108,-6.689,-5.774,-4.176,-2.699,-8.928,-8.223,-7.601,-7.145,-3.961,-0.316,-8.286,-1.464,-2.508,-4.975,-7.207,0.000,47.249,-4.231,-1.578,-89.903,-10.087
72491.626,297.195,0.850,15.030,95.979,95.047,-12.216,-5.797,-5.667,-3.968,-3.131,-7.578,-8.223,-7.815,-5.806,-4.065,-0.422,-7.861,-1.150,-2.613,-4.561,-7.207,0.000,47.249,-4.210,-1.579,-89.952,-10.087
72495.658,297.197,0.850,15.030,95.979,94.567,-11.892,-6.355,-5.239,-4.176,-2.483,-8.097,-8.650,-7.494,-6.699,-3.231,-0.633,-8.179,-0.941,-3.553,-4.354,-7.095,0.000,47.268,-4.221,-1.582,-89.936,-10.098
72495.658,297.197,0.850,15.030,95.979,94.727,-12.000,-6.800,-5.987,-4.072,-3.023,-8.410,-8.009,-8.457,-6.810,-3.231,-0.738,-7.648,-0.941,-2.508,-5.390,-7.095,0.000,47.249,-4.200,-1.583,-89.920,-10.087
72495.658,297.197,0.850,15.023,95.900,94.727,-11.243,-7.581,-5.239,-3.968,-2.591,-8.202,-7.795,-7.601,-6.364,-3.231,-0.105,-8.498,-0.836,-3.031,-4.664,-6.982,0.000,47.307,-4.180,-1.585,-89.920,-10.077
72495.658,297.198,0.850,15.023,95.900,94.727,-11.784,-6.800,-5.774,-4.281,-2.483,-9.033,-7.795,-7.922,-5.917,-3.544,-0.316,-7.967,-1.046,-3.031,-4.768,-8.446,0.000,47.307,-4.200,-1.588,-89.903,-10.098
72499.689,297.198,0.850,15.029,95.979,94.727,-12.216,-6.577,-6.094,-4.176,-2.915,-7.579,-8.650,-8.564,-5.693,-4.586,-0.527,-7.967,-1.150,-2.926,-4.561,-6.869,0.000,47.345,-4.190,-1.590,-89.936,-10.098
72487.595,297.197,0.850,15.030,95.979,95.047,-12.433,-6.355,-5.239,-5.638,-2.375,-7.787,-8.543,-8.136,-6.028,-2.919,-1.266,-8.179,-1.150,-3.553,-4.561,-7.095,0.000,47.364,-4.190,-1.592,-89.920,-10.098
