%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73148.739,297.766,0.856,14.975,95.963,95.416,-13.402,-8.695,-8.124,-6.159,-4.750,-9.652,-10.571,-9.418,-8.596,-6.774,-2.847,-10.089,-2.823,-5.120,-6.737,-9.232,0.000,81.247,37.097,-1.052,239.325,-46.900
73136.645,297.761,0.856,14.977,95.963,95.736,-14.699,-9.252,-8.017,-6.995,-3.887,-10.379,-10.144,-10.488,-8.819,-5.523,-3.901,-10.301,-2.614,-5.225,-6.737,-9.795,0.000,81.382,37.097,-1.055,239.309,-46.900
73140.676,297.766,0.856,14.964,95.805,95.576,-13.726,-9.698,-7.910,-6.159,-4.534,-9.652,-9.930,-10.060,-8.149,-5.419,-2.741,-10.301,-3.032,-4.807,-7.462,-10.245,0.000,81.459,37.056,-1.057,239.276,-46.911
73148.739,297.764,0.856,14.963,95.805,95.736,-13.618,-9.363,-8.658,-6.264,-4.318,-11.001,-10.464,-9.204,-8.931,-5.627,-3.796,-10.939,-2.404,-4.807,-7.048,-10.245,0.000,81.594,37.036,-1.059,239.309,-46.900
73136.645,297.764,0.856,14.983,96.042,95.736,-13.510,-9.029,-8.231,-6.055,-4.318,-10.067,-10.464,-9.418,-8.038,-6.774,-3.163,-10.089,-3.136,-5.225,-7.255,-9.344,0.000,81.709,37.015,-1.061,239.292,-46.900
73140.676,297.763,0.856,14.982,96.042,95.736,-14.159,-9.475,-8.017,-6.786,-4.642,-9.652,-10.357,-9.739,-8.707,-5.627,-3.058,-10.514,-2.823,-5.120,-6.841,-9.682,0.000,81.805,36.995,-1.065,239.309,-46.889
73140.676,297.763,0.856,14.976,95.963,96.056,-14.159,-9.586,-8.231,-6.055,-4.966,-10.171,-10.357,-9.953,-9.154,-5.731,-3.479,-10.408,-2.823,-4.807,-7.255,-9.232,0.000,81.921,36.954,-1.067,239.309,-46.922
73148.739,297.766,0.856,14.969,95.884,95.896,-13.726,-9.698,-8.124,-5.951,-4.318,-10.482,-10.784,-8.776,-9.712,-5.731,-2.847,-11.045,-2.718,-4.702,-6.944,-10.470,0.000,82.075,36.944,-1.070,239.309,-46.900
73140.676,297.764,0.856,14.982,96.042,95.576,-13.510,-8.918,-8.124,-6.159,-4.426,-9.963,-9.823,-9.953,-7.926,-6.461,-3.058,-10.195,-3.032,-4.911,-6.530,-9.569,0.000,82.171,36.924,-1.071,239.276,-46.889
73140.676,297.764,0.856,14.989,96.121,95.736,-13.726,-9.141,-8.231,-6.890,-4.426,-9.860,-10.677,-9.632,-7.926,-5.731,-2.952,-10.089,-2.300,-5.434,-7.255,-9.344,0.000,82.287,36.914,-1.075,239.325,-46.889
