%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73108.425,297.927,0.855,25.053,268.281,266.761,-12.755,-9.809,-7.910,-6.263,-4.642,-10.275,-10.038,-9.632,-9.154,-6.357,-3.164,-10.728,-2.823,-5.329,-6.944,-10.020,0.000,15.140,-4.571,1.531,240.026,-47.362
73100.362,297.927,0.855,25.051,268.202,266.601,-13.188,-8.806,-8.337,-6.576,-4.426,-10.067,-9.932,-9.311,-8.372,-5.731,-2.531,-9.666,-3.032,-4.598,-6.841,-10.132,0.000,15.178,-4.561,1.533,240.042,-47.362
73100.362,297.927,0.855,25.051,268.202,266.761,-13.836,-9.140,-7.803,-6.680,-4.426,-10.067,-11.427,-9.739,-8.931,-6.565,-2.636,-10.090,-2.405,-5.643,-7.151,-9.457,0.000,15.255,-4.550,1.534,240.026,-47.351
73104.394,297.927,0.855,25.057,268.360,266.761,-14.161,-9.698,-7.589,-6.367,-4.318,-9.756,-9.825,-10.167,-8.261,-5.523,-3.058,-9.878,-2.196,-4.911,-7.048,-10.020,0.000,15.313,-4.550,1.535,240.042,-47.330
73108.425,297.927,0.855,25.053,268.281,267.082,-13.404,-10.367,-8.231,-6.054,-4.426,-9.963,-9.184,-9.097,-8.149,-5.627,-2.636,-10.090,-2.196,-4.389,-6.530,-8.781,0.000,15.409,-4.530,1.537,240.009,-47.362
73108.425,297.926,0.855,25.057,268.360,266.761,-12.647,-8.360,-8.124,-6.158,-4.642,-10.378,-10.359,-9.525,-8.484,-6.148,-3.374,-10.197,-3.450,-5.538,-7.359,-10.132,0.000,15.467,-4.540,1.540,240.009,-47.362
73108.425,297.924,0.855,25.060,268.439,266.922,-13.512,-9.475,-8.337,-6.785,-4.426,-9.860,-11.106,-10.060,-8.261,-6.357,-2.742,-9.772,-2.405,-5.120,-6.841,-9.119,0.000,15.544,-4.550,1.540,240.026,-47.362
73100.362,297.926,0.855,25.058,268.360,266.922,-14.161,-9.140,-8.231,-7.202,-3.995,-9.963,-10.252,-10.167,-8.484,-5.419,-3.269,-10.090,-2.718,-4.807,-6.841,-9.344,0.000,15.621,-4.550,1.542,239.993,-47.340
73104.394,297.926,0.855,25.057,268.360,267.082,-13.512,-9.363,-7.910,-6.158,-4.966,-10.171,-10.572,-9.525,-8.594,-5.836,-2.953,-11.153,-2.196,-4.911,-7.151,-9.682,0.000,15.736,-4.561,1.545,240.042,-47.362
73096.331,297.924,0.855,25.055,268.281,266.922,-13.836,-9.363,-9.086,-6.367,-3.995,-10.794,-10.786,-9.525,-8.260,-5.940,-2.953,-9.772,-2.928,-4.702,-6.737,-10.695,0.000,15.794,-4.561,1.546,240.026,-47.351
