%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73713.130,297.057,0.864,24.989,269.910,269.842,-10.053,-5.685,-5.345,-4.280,-2.051,-7.681,-8.116,-7.815,-5.135,-2.710,-0.527,-7.329,-0.314,-1.672,-4.457,-7.544,0.000,24.955,9.336,-0.327,119.991,-39.992
73717.161,297.057,0.865,24.985,269.831,269.842,-9.945,-5.573,-4.383,-4.280,-2.051,-6.851,-8.223,-7.601,-5.693,-2.814,-0.422,-7.435,0.209,-2.821,-5.287,-6.868,0.000,25.012,9.336,-0.327,119.958,-40.024
73721.193,297.055,0.865,24.984,269.831,269.842,-10.809,-6.577,-4.491,-4.593,-2.051,-6.643,-7.689,-7.494,-5.582,-2.084,-0.844,-7.116,0.209,-2.508,-3.835,-6.643,0.000,25.089,9.356,-0.326,119.974,-40.014
73717.161,297.055,0.865,24.988,269.910,269.842,-9.837,-6.911,-4.491,-3.967,-2.483,-7.058,-8.116,-7.922,-5.582,-2.606,0.211,-8.709,0.105,-1.985,-4.768,-6.643,0.000,25.166,9.366,-0.327,119.991,-40.014
73721.193,297.058,0.865,24.980,269.752,269.682,-9.837,-5.908,-4.491,-3.967,-2.267,-7.889,-7.689,-7.387,-5.470,-2.501,0.000,-7.329,-0.314,-1.985,-3.939,-7.094,0.000,25.224,9.376,-0.325,119.974,-40.014
73721.193,297.055,0.865,24.991,269.989,269.842,-9.837,-5.573,-5.025,-3.967,-2.375,-6.435,-8.223,-7.815,-5.470,-3.335,-0.527,-8.285,0.105,-2.194,-4.354,-6.305,0.000,25.301,9.376,-0.325,119.942,-40.014
73717.161,297.053,0.865,24.992,269.989,269.682,-10.593,-6.131,-4.811,-4.280,-2.483,-6.851,-7.368,-7.815,-5.470,-2.189,-1.055,-7.435,0.524,-2.821,-3.939,-6.080,0.000,25.378,9.376,-0.325,119.942,-40.014
73713.130,297.057,0.864,24.989,269.910,269.682,-9.945,-5.685,-4.170,-3.654,-2.699,-6.954,-7.582,-7.815,-5.023,-1.876,0.423,-7.754,0.733,-1.672,-4.561,-6.531,0.000,25.455,9.376,-0.324,119.958,-40.003
73725.224,297.057,0.865,24.983,269.831,269.842,-9.620,-6.800,-4.384,-3.758,-2.051,-7.266,-7.475,-7.494,-6.586,-2.397,-0.105,-7.860,-0.105,-1.881,-4.146,-7.094,0.000,25.513,9.386,-0.325,119.958,-40.003
73713.130,297.055,0.864,24.996,270.068,270.002,-10.701,-5.908,-5.881,-4.071,-2.051,-7.370,-7.689,-8.457,-4.800,-3.335,-0.211,-7.435,-0.314,-2.299,-4.146,-6.981,0.000,25.570,9.386,-0.324,119.942,-40.014
73717.161,297.057,0.865,24.988,269.910,269.682,-10.161,-6.465,-4.598,-4.385,-2.483,-6.643,-8.009,-7.601,-5.135,-1.980,0.000,-7.329,0.524,-2.717,-3.939,-6.193,0.000,25.609,9.407,-0.324,119.974,-40.014
73717.161,297.055,0.865,24.988,269.910,270.162,-10.701,-6.465,-4.811,-3.758,-2.915,-7.370,-7.902,-8.029,-5.358,-1.980,-0.422,-7.966,-0.105,-1.463,-4.768,-6.531,0.000,25.667,9.427,-0.323,119.974,-40.014
73721.193,297.055,0.865,24.984,269.831,270.002,-9.729,-6.465,-4.705,-3.863,-1.835,-6.643,-7.582,-7.173,-5.805,-2.710,-0.105,-8.816,0.105,-1.985,-4.561,-7.206,0.000,25.705,9.427,-0.323,119.958,-40.014
73725.224,297.060,0.865,24.991,269.989,269.682,-10.701,-5.908,-5.667,-3.549,-2.375,-8.304,-8.009,-7.708,-5.582,-2.710,-0.316,-7.435,-0.209,-1.881,-3.939,-6.868,0.000,25.724,9.427,-0.324,119.974,-39.992
73717.161,297.053,0.865,24.988,269.910,270.002,-9.837,-6.019,-4.277,-3.967,-2.159,-6.643,-8.543,-8.136,-5.247,-2.710,-0.211,-7.435,-0.000,-2.717,-4.560,-6.418,0.000,25.744,9.417,-0.323,119.974,-40.003
73717.161,297.055,0.865,24.985,269.831,270.162,-10.809,-6.131,-4.705,-3.549,-1.943,-6.954,-7.475,-8.029,-5.358,-2.397,-0.527,-7.223,0.209,-1.881,-4.146,-7.205,0.000,25.801,9.437,-0.323,119.942,-40.003
73721.193,297.057,0.865,24.988,269.910,270.162,-9.622,-7.245,-4.811,-3.967,-2.159,-7.266,-7.796,-7.601,-5.247,-2.918,-0.633,-8.816,-0.105,-2.194,-4.768,-6.755,0.000,25.821,9.427,-0.323,119.958,-40.003
73725.224,297.055,0.865,24.980,269.752,270.162,-9.946,-6.131,-4.705,-4.176,-1.511,-7.266,-7.796,-7.280,-5.470,-2.397,-0.633,-7.647,-0.523,-2.194,-4.975,-7.318,0.000,25.801,9.427,-0.323,119.974,-39.992
73729.255,297.060,0.865,24.986,269.910,270.162,-10.162,-5.908,-4.705,-4.071,-2.591,-6.954,-8.116,-7.922,-4.912,-2.606,0.211,-7.647,0.209,-2.403,-4.249,-6.642,0.000,25.821,9.417,-0.323,119.942,-40.003
73721.193,297.055,0.865,24.991,269.989,270.162,-10.595,-6.242,-4.491,-4.385,-1.943,-7.370,-8.009,-7.387,-5.693,-2.397,-1.265,-7.435,-0.000,-1.672,-4.353,-6.867,0.000,25.821,9.417,-0.324,119.974,-40.014
