%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72685.132,298.045,0.850,25.015,265.809,263.293,-10.921,-6.020,-4.491,-3.654,-2.915,-8.098,-8.332,-7.816,-5.805,-3.440,0.211,-6.906,-0.523,-2.195,-4.250,-6.306,0.000,-2.773,17.404,-0.059,28.080,-15.017
72689.163,298.048,0.850,25.011,265.730,263.132,-11.569,-6.131,-4.491,-3.967,-2.159,-7.579,-7.157,-6.852,-5.471,-2.606,-0.422,-7.012,-0.418,-2.613,-3.524,-6.194,0.000,-2.715,17.404,-0.059,28.113,-15.006
72685.132,298.047,0.850,25.015,265.809,263.132,-10.596,-6.243,-4.706,-3.132,-2.915,-7.372,-7.370,-7.923,-6.140,-3.440,-0.105,-7.862,-0.732,-2.822,-4.664,-6.081,0.000,-2.696,17.384,-0.058,28.113,-15.006
72685.132,298.050,0.850,25.011,265.730,262.812,-11.137,-6.243,-4.813,-3.759,-2.267,-7.995,-7.798,-6.638,-6.252,-2.815,0.317,-7.331,-0.000,-2.090,-3.317,-6.081,0.000,-2.638,17.374,-0.058,28.080,-15.017
72681.100,298.048,0.850,25.016,265.809,263.293,-11.353,-5.685,-5.454,-3.967,-2.483,-8.617,-8.118,-7.495,-5.247,-3.336,-0.105,-7.437,-1.150,-2.508,-4.457,-7.207,0.000,-2.638,17.363,-0.058,28.097,-15.017
72685.132,298.048,0.850,25.011,265.730,263.132,-11.029,-5.685,-4.599,-4.489,-2.375,-7.787,-8.225,-7.280,-5.582,-3.232,-0.105,-7.118,0.105,-2.926,-4.561,-6.194,0.000,-2.599,17.363,-0.057,28.129,-15.027
72685.132,298.048,0.850,25.015,265.809,263.453,-11.894,-6.577,-5.241,-4.385,-2.915,-8.098,-7.691,-8.351,-6.252,-3.023,-0.949,-7.756,-0.627,-3.449,-4.664,-7.094,0.000,-2.638,17.333,-0.059,28.097,-15.006
72681.100,298.047,0.850,25.016,265.809,263.132,-11.137,-6.912,-5.134,-3.759,-3.239,-7.995,-8.118,-8.030,-6.475,-3.336,0.106,-7.968,-0.523,-2.299,-4.250,-6.081,0.000,-2.619,17.363,-0.058,28.129,-15.017
72685.132,298.047,0.850,25.011,265.730,262.972,-11.137,-6.466,-4.706,-4.385,-2.051,-8.825,-8.118,-7.388,-6.475,-3.127,0.317,-7.649,-0.105,-2.090,-4.146,-7.432,0.000,-2.657,17.363,-0.058,28.146,-15.006
72681.100,298.045,0.850,25.012,265.730,263.293,-12.218,-6.577,-6.096,-4.489,-2.267,-8.929,-7.904,-8.137,-5.806,-3.648,-0.738,-7.968,-1.150,-2.299,-4.561,-6.644,0.000,-2.657,17.353,-0.059,28.080,-15.006
72681.100,298.045,0.850,25.012,265.730,262.972,-11.353,-6.131,-4.492,-4.176,-3.131,-8.098,-8.866,-7.923,-5.806,-3.440,-0.316,-7.756,-0.209,-3.135,-4.561,-6.531,0.000,-2.696,17.363,-0.061,28.113,-15.006
72673.038,298.048,0.849,25.013,265.730,263.132,-11.785,-6.243,-4.492,-3.654,-1.835,-7.891,-7.157,-7.280,-5.359,-2.189,0.106,-6.800,-0.105,-2.090,-3.524,-6.757,0.000,-2.715,17.353,-0.061,28.113,-15.006
72673.038,298.047,0.849,25.013,265.730,263.293,-11.245,-6.689,-5.241,-3.759,-2.591,-8.306,-8.225,-8.030,-5.917,-3.127,0.211,-7.756,-0.837,-1.986,-4.457,-6.194,0.000,-2.792,17.343,-0.061,28.097,-15.017
72677.069,298.048,0.849,25.009,265.651,262.972,-11.785,-6.020,-4.920,-3.550,-2.591,-8.098,-8.118,-7.709,-6.140,-3.231,0.106,-7.012,-0.523,-2.299,-4.146,-7.320,0.000,-2.830,17.353,-0.062,28.080,-14.995
72677.069,298.050,0.849,25.016,265.809,263.293,-11.785,-6.020,-5.882,-3.445,-2.699,-7.683,-8.011,-7.816,-5.136,-3.231,0.634,-7.118,-1.359,-2.508,-4.250,-6.644,0.000,-2.946,17.353,-0.062,28.113,-14.995
72669.006,298.047,0.849,25.018,265.809,263.293,-11.029,-6.243,-4.171,-4.489,-2.483,-7.995,-8.118,-7.923,-5.247,-3.023,0.000,-6.906,-0.837,-3.031,-4.043,-6.757,0.000,-3.042,17.363,-0.063,28.113,-15.017
72669.006,298.048,0.849,25.025,265.967,263.293,-11.677,-6.800,-4.599,-4.176,-2.915,-8.098,-7.904,-8.565,-6.252,-2.710,-0.422,-7.543,-0.627,-2.508,-4.457,-6.869,0.000,-3.119,17.333,-0.064,28.097,-15.006
72673.038,298.048,0.849,25.017,265.809,263.453,-11.245,-7.358,-5.347,-3.445,-2.591,-7.372,-7.798,-7.495,-5.582,-2.710,0.528,-7.649,-1.046,-2.299,-4.768,-6.419,0.000,-3.215,17.333,-0.065,28.113,-15.006
72677.069,298.050,0.849,25.013,265.730,263.613,-11.569,-6.466,-5.134,-4.072,-2.051,-8.721,-7.584,-7.495,-6.140,-2.919,0.740,-6.906,-0.314,-2.508,-3.628,-7.658,0.000,-3.311,17.333,-0.066,28.080,-15.017
72673.038,298.048,0.849,25.024,265.967,263.293,-10.812,-5.463,-4.706,-3.863,-2.483,-7.579,-8.332,-7.816,-5.582,-4.274,-0.633,-7.649,-1.255,-2.717,-4.768,-6.757,0.000,-3.465,17.303,-0.066,28.129,-15.006
72669.006,298.048,0.849,25.021,265.888,263.132,-11.894,-6.131,-4.920,-4.489,-3.023,-7.891,-8.225,-7.602,-6.140,-2.814,-0.211,-7.331,-0.209,-3.031,-4.250,-6.644,0.000,-3.562,17.303,-0.068,28.097,-15.017
72673.038,298.047,0.849,25.017,265.809,263.293,-12.218,-6.466,-5.347,-3.863,-3.023,-8.202,-7.584,-8.886,-6.029,-3.231,-0.422,-7.437,-0.837,-2.613,-4.457,-7.320,0.000,-3.696,17.262,-0.068,28.113,-15.017
72669.006,298.048,0.849,25.025,265.967,263.453,-11.029,-7.023,-5.241,-4.385,-3.023,-7.994,-8.439,-8.137,-6.364,-3.544,0.211,-8.393,-0.418,-2.195,-4.146,-6.531,0.000,-3.850,17.231,-0.069,28.064,-14.995
72669.006,298.047,0.849,25.018,265.809,263.293,-10.380,-6.131,-4.813,-4.281,-1.835,-7.891,-7.798,-7.388,-5.694,-3.023,0.317,-7.118,-1.255,-2.508,-4.561,-7.995,0.000,-3.985,17.221,-0.070,28.097,-15.006
72669.006,298.050,0.849,25.018,265.809,263.293,-11.353,-6.243,-6.310,-4.281,-3.131,-8.410,-8.011,-8.244,-6.252,-4.065,-0.316,-7.756,-0.627,-2.717,-3.524,-6.194,0.000,-4.062,17.181,-0.072,28.097,-15.017
72677.069,298.047,0.849,25.016,265.809,263.293,-11.137,-6.466,-4.171,-4.072,-1.835,-7.372,-7.477,-7.066,-5.582,-2.397,0.211,-7.331,-0.000,-3.031,-4.457,-6.869,0.000,-4.216,17.120,-0.073,28.113,-14.995
72677.069,298.047,0.849,25.024,265.967,263.132,-11.137,-6.243,-4.813,-3.863,-2.375,-8.098,-7.904,-8.030,-6.364,-3.023,-0.105,-7.331,-0.627,-2.508,-4.353,-6.644,0.000,-4.312,17.089,-0.075,28.080,-15.006
72681.100,298.050,0.850,25.019,265.888,263.293,-11.029,-7.246,-5.027,-3.967,-2.483,-7.994,-7.584,-6.745,-5.917,-3.023,0.634,-7.649,-0.000,-2.508,-3.732,-6.419,0.000,-4.447,17.059,-0.075,28.097,-15.006
72673.038,298.048,0.849,25.024,265.967,263.613,-11.461,-5.908,-5.347,-4.176,-2.483,-8.098,-7.904,-7.388,-5.471,-3.231,0.634,-7.012,-0.941,-2.717,-4.250,-7.095,0.000,-4.524,16.998,-0.077,28.113,-14.995
72677.069,298.048,0.849,25.024,265.967,263.453,-10.812,-6.020,-4.706,-3.759,-1.943,-6.852,-7.798,-7.280,-5.136,-3.961,0.211,-7.224,-0.418,-2.717,-4.353,-7.095,0.000,-4.659,16.967,-0.078,28.080,-14.995
72681.100,298.048,0.850,25.016,265.809,263.613,-11.785,-5.797,-4.599,-4.385,-2.591,-7.683,-7.904,-7.602,-6.140,-2.814,-0.633,-7.756,-0.627,-2.822,-4.043,-6.644,0.000,-4.697,16.916,-0.080,28.097,-15.006
72681.100,298.047,0.850,25.023,265.967,263.933,-11.245,-6.689,-4.492,-4.072,-2.699,-7.787,-7.584,-8.137,-5.471,-2.919,0.423,-7.331,-0.418,-1.568,-4.250,-6.306,0.000,-4.793,16.876,-0.082,28.113,-14.995
72685.132,298.047,0.850,25.022,265.967,263.773,-10.380,-6.577,-4.706,-3.237,-2.483,-7.891,-8.011,-7.280,-6.252,-3.023,-0.105,-7.862,-0.837,-2.508,-4.250,-6.869,0.000,-4.851,16.845,-0.082,28.097,-15.006
72685.132,298.043,0.850,25.026,266.046,263.613,-11.137,-5.797,-5.134,-3.863,-2.375,-8.098,-7.584,-7.709,-6.029,-3.440,-0.633,-7.331,-0.941,-2.926,-4.353,-6.982,0.000,-4.928,16.794,-0.084,28.080,-15.027
72685.132,298.045,0.850,25.026,266.046,263.773,-11.461,-6.020,-5.454,-4.698,-2.807,-7.891,-8.866,-7.816,-6.140,-3.752,-0.211,-7.437,-0.627,-2.926,-4.768,-6.531,0.000,-4.967,16.754,-0.085,28.080,-15.006
72677.069,298.045,0.849,25.031,266.125,263.933,-12.218,-6.354,-4.706,-4.176,-2.267,-7.787,-7.477,-8.137,-5.359,-2.606,-0.527,-7.543,-0.523,-2.926,-4.043,-6.982,0.000,-5.005,16.693,-0.086,28.129,-15.006
72685.132,298.048,0.850,25.034,266.204,263.933,-10.921,-6.466,-4.599,-3.445,-2.591,-7.787,-7.691,-8.137,-5.582,-2.710,0.211,-7.543,-0.418,-2.299,-4.353,-6.644,0.000,-5.024,16.662,-0.087,28.097,-14.995
72681.100,298.045,0.850,25.041,266.362,263.933,-10.921,-6.354,-4.920,-3.550,-2.375,-7.995,-8.011,-7.173,-6.587,-3.440,-0.316,-8.181,-0.732,-2.404,-4.353,-7.545,0.000,-5.044,16.632,-0.088,28.097,-15.006
72685.132,298.047,0.850,25.037,266.283,264.093,-11.785,-6.020,-5.668,-3.341,-2.591,-8.098,-7.584,-7.066,-5.582,-2.814,-0.211,-7.118,-1.255,-2.926,-3.732,-7.095,0.000,-5.024,16.591,-0.089,28.113,-15.006
72685.132,298.047,0.850,25.030,266.125,264.093,-10.921,-5.463,-4.599,-3.967,-2.051,-6.956,-8.759,-7.280,-6.140,-3.335,0.423,-7.331,0.105,-2.613,-4.353,-6.306,0.000,-5.024,16.551,-0.090,28.097,-15.006
72681.100,298.045,0.850,25.038,266.283,264.093,-11.461,-6.354,-4.706,-4.281,-2.267,-7.475,-7.157,-7.923,-5.694,-3.023,-0.316,-7.118,-0.209,-2.195,-3.835,-6.644,0.000,-5.044,16.520,-0.090,28.097,-15.017
72685.132,298.047,0.850,25.026,266.046,264.253,-10.812,-6.800,-5.134,-3.759,-2.807,-7.579,-7.584,-7.495,-5.917,-2.919,0.106,-7.968,-0.837,-2.613,-4.975,-6.869,0.000,-5.005,16.490,-0.090,28.080,-15.027
72689.163,298.045,0.850,25.029,266.125,263.933,-11.245,-6.912,-5.347,-4.072,-2.699,-8.098,-8.332,-7.816,-6.587,-2.814,-0.105,-7.224,-0.418,-2.404,-3.628,-6.644,0.000,-4.967,16.459,-0.090,28.129,-14.995
72681.100,298.047,0.850,25.038,266.283,263.933,-11.461,-6.020,-5.241,-3.654,-2.267,-7.579,-7.904,-7.173,-5.359,-3.857,0.000,-7.224,-1.150,-2.613,-4.043,-6.531,0.000,-4.967,16.408,-0.090,28.097,-15.017
72685.132,298.045,0.850,25.041,266.362,264.253,-11.137,-6.354,-5.027,-4.281,-2.591,-8.098,-8.332,-7.602,-5.694,-2.919,0.211,-7.331,0.000,-3.240,-3.939,-6.644,0.000,-4.909,16.378,-0.089,28.080,-15.006
72689.163,298.043,0.850,25.029,266.125,264.253,-12.326,-6.577,-4.492,-3.967,-2.375,-7.683,-7.904,-7.709,-6.475,-3.127,-0.949,-7.543,-1.046,-2.717,-5.079,-6.982,0.000,-4.890,16.347,-0.089,28.113,-14.995
72693.194,298.045,0.850,25.036,266.283,264.253,-11.353,-7.358,-5.561,-3.759,-2.267,-8.202,-7.370,-7.280,-5.694,-3.127,0.740,-7.862,-0.627,-2.508,-4.353,-6.531,0.000,-4.851,16.327,-0.088,28.113,-14.995
72689.163,298.045,0.850,25.040,266.362,264.253,-11.569,-5.686,-5.134,-4.072,-2.159,-8.202,-8.118,-7.816,-6.810,-3.544,-0.422,-7.543,-1.150,-2.613,-4.457,-7.320,0.000,-4.813,16.286,-0.087,28.113,-15.017
72685.132,298.043,0.850,25.037,266.283,264.253,-11.353,-6.131,-5.241,-3.759,-2.267,-7.891,-7.584,-7.602,-4.577,-3.752,0.211,-7.543,-0.732,-3.135,-4.353,-6.982,0.000,-4.793,16.256,-0.086,28.129,-14.995
