%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73926.792,297.505,0.866,14.908,96.197,95.293,-9.945,-6.800,-5.024,-4.175,-1.943,-6.642,-7.689,-7.706,-6.140,-2.293,-0.422,-8.072,0.314,-2.299,-4.975,-6.980,0.000,-13.213,16.951,0.369,-90.079,-40.044
73926.792,297.505,0.866,14.902,96.118,95.454,-10.593,-6.242,-5.986,-4.280,-2.699,-7.472,-7.796,-7.278,-5.358,-2.814,-0.105,-7.860,-0.000,-2.194,-4.457,-7.318,0.000,-13.174,16.941,0.368,-90.063,-40.034
73930.824,297.505,0.866,14.908,96.197,94.973,-9.837,-6.019,-4.596,-3.758,-2.591,-6.746,-8.650,-7.063,-5.693,-2.918,-0.738,-7.647,0.733,-3.135,-4.457,-6.867,0.000,-13.174,16.961,0.366,-90.063,-40.034
73918.730,297.502,0.866,14.915,96.276,95.293,-11.134,-6.577,-4.810,-4.384,-2.483,-6.954,-7.903,-8.241,-5.470,-2.709,-0.633,-7.223,-0.314,-2.090,-4.353,-7.318,0.000,-13.097,16.992,0.364,-90.096,-40.044
73926.792,297.502,0.866,14.908,96.197,95.293,-9.837,-6.800,-4.810,-4.488,-2.375,-7.265,-7.369,-7.492,-6.251,-2.918,0.211,-8.603,-0.000,-1.881,-4.560,-6.530,0.000,-13.078,17.002,0.361,-90.063,-40.034
73922.761,297.505,0.866,14.902,96.118,95.454,-10.377,-5.462,-5.665,-3.862,-2.159,-7.889,-7.475,-7.171,-5.247,-2.918,-0.211,-7.541,-0.209,-2.090,-4.664,-7.543,0.000,-13.059,17.002,0.359,-90.079,-40.044
73926.792,297.503,0.866,14.908,96.197,95.293,-10.377,-6.354,-4.810,-4.906,-2.375,-7.266,-8.970,-7.706,-5.582,-3.439,0.000,-7.329,0.419,-2.299,-4.249,-6.867,0.000,-13.078,17.012,0.357,-90.063,-40.055
73926.792,297.505,0.866,14.914,96.276,95.133,-11.026,-6.688,-5.024,-4.175,-2.699,-6.851,-6.941,-7.920,-5.470,-2.084,-0.844,-7.754,0.209,-1.881,-4.560,-7.093,0.000,-13.059,17.042,0.355,-90.079,-40.034
73930.824,297.505,0.866,14.901,96.118,95.133,-9.945,-6.911,-5.024,-3.966,-2.591,-7.162,-7.582,-7.813,-5.470,-3.022,-0.633,-8.497,-0.418,-2.090,-5.182,-6.980,0.000,-13.020,17.032,0.352,-90.063,-40.034
73930.824,297.505,0.866,14.901,96.118,95.133,-10.377,-6.688,-5.024,-4.071,-2.159,-7.785,-7.903,-7.278,-5.805,-2.397,-0.738,-7.329,-0.314,-2.403,-4.664,-7.430,0.000,-13.039,17.042,0.351,-90.079,-40.034
73922.761,297.505,0.866,14.908,96.197,95.293,-9.729,-6.354,-5.024,-3.758,-2.483,-6.851,-8.436,-7.492,-5.693,-2.918,-0.527,-7.754,0.314,-2.299,-5.079,-7.093,0.000,-13.001,17.063,0.349,-90.063,-40.044
73922.761,297.503,0.866,14.915,96.276,95.293,-10.702,-6.688,-4.917,-3.966,-2.807,-6.747,-7.796,-8.134,-6.028,-2.188,-1.160,-7.434,-0.105,-2.403,-4.457,-6.417,0.000,-13.078,17.073,0.347,-90.063,-40.034
73934.855,297.505,0.866,14.913,96.276,95.614,-9.837,-6.577,-5.024,-4.384,-2.807,-6.851,-7.582,-7.599,-5.358,-1.980,-0.422,-8.496,-0.209,-2.194,-4.768,-6.980,0.000,-13.039,17.063,0.344,-90.063,-40.034
73926.792,297.505,0.866,14.914,96.276,95.133,-9.945,-6.131,-5.238,-4.280,-2.591,-7.993,-8.116,-7.920,-5.693,-2.709,-0.316,-7.859,-0.314,-2.194,-4.768,-7.318,0.000,-13.078,17.063,0.343,-90.063,-40.023
73926.792,297.508,0.866,14.908,96.197,95.293,-10.053,-5.462,-5.665,-4.175,-2.267,-7.058,-8.009,-7.599,-4.800,-3.126,-0.316,-8.071,-0.209,-2.194,-4.560,-6.304,0.000,-13.097,17.032,0.340,-90.096,-40.034
73926.792,297.506,0.866,14.902,96.118,95.293,-10.810,-6.354,-5.024,-4.280,-2.483,-7.162,-7.582,-7.599,-6.028,-2.084,-1.055,-7.965,-0.105,-2.299,-4.042,-6.192,0.000,-13.136,17.012,0.339,-90.079,-40.044
73930.824,297.503,0.866,14.908,96.197,95.454,-10.593,-6.800,-5.131,-3.758,-2.915,-6.643,-8.223,-7.920,-5.805,-2.397,0.106,-8.390,-0.000,-2.090,-4.664,-6.755,0.000,-13.136,17.002,0.337,-90.079,-40.044
73914.698,297.505,0.866,14.903,96.118,95.454,-9.945,-6.242,-4.596,-3.862,-1.727,-7.266,-7.475,-7.278,-5.582,-2.501,-0.105,-7.115,-0.000,-2.090,-4.560,-7.318,0.000,-13.136,16.981,0.336,-90.063,-40.044
73922.761,297.503,0.866,14.915,96.276,95.454,-10.593,-6.131,-5.344,-4.384,-2.267,-6.851,-8.116,-7.920,-5.247,-3.230,-0.316,-7.859,-0.627,-2.299,-4.664,-6.980,0.000,-13.136,16.951,0.334,-90.063,-40.023
73934.855,297.508,0.866,14.901,96.118,95.454,-10.918,-6.242,-4.276,-4.802,-1.943,-7.058,-7.155,-8.027,-5.582,-2.501,-0.949,-8.071,-0.314,-2.508,-3.939,-6.305,0.000,-13.155,16.900,0.333,-90.079,-40.055
73926.792,297.506,0.866,14.902,96.118,95.293,-10.053,-6.242,-5.238,-3.966,-3.563,-6.955,-7.689,-8.134,-5.582,-2.605,-0.527,-7.965,-0.523,-2.090,-5.493,-6.755,0.000,-13.155,16.870,0.331,-90.030,-40.034
73926.792,297.505,0.866,14.908,96.197,95.454,-10.053,-6.577,-5.344,-4.697,-2.483,-7.785,-8.330,-8.134,-6.252,-3.022,-0.633,-7.965,-0.314,-1.881,-4.560,-7.656,0.000,-13.232,16.809,0.331,-90.079,-40.034
73930.824,297.503,0.866,14.914,96.276,95.454,-9.945,-6.800,-5.772,-4.071,-1.943,-6.643,-8.009,-7.920,-5.135,-3.335,-0.105,-7.859,0.105,-2.508,-4.768,-6.530,0.000,-13.213,16.768,0.329,-90.079,-40.034
73930.824,297.503,0.866,14.901,96.118,95.133,-10.377,-6.019,-4.810,-5.010,-2.375,-6.747,-7.796,-8.027,-5.135,-2.501,-0.949,-8.071,-0.209,-2.717,-4.560,-6.642,0.000,-13.232,16.717,0.328,-90.063,-40.034
