%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72987.484,297.192,0.856,14.919,95.211,95.158,-8.648,-4.459,-2.780,-2.401,-0.972,-5.605,-6.087,-6.956,-3.237,-0.625,1.585,-5.735,1.675,-0.209,-3.213,-5.291,0.000,11.474,26.473,-0.087,239.987,-49.940
72995.547,297.192,0.856,14.924,95.290,94.998,-8.431,-5.239,-3.421,-2.296,-1.296,-5.190,-6.301,-6.528,-4.354,-0.729,1.056,-6.160,1.675,-0.836,-3.109,-5.404,0.000,11.416,26.483,-0.085,240.004,-49.972
72999.578,297.190,0.856,14.930,95.369,94.998,-8.864,-4.682,-4.597,-2.818,-1.403,-6.124,-6.407,-6.314,-3.684,-1.667,1.268,-6.478,1.047,-0.209,-3.006,-6.079,0.000,11.320,26.453,-0.082,239.955,-49.951
72991.515,297.192,0.856,14.925,95.290,95.158,-8.540,-4.793,-3.421,-2.923,-2.051,-5.813,-7.369,-7.278,-4.354,-1.146,0.423,-6.584,1.466,-1.567,-3.213,-5.404,0.000,11.243,26.443,-0.078,239.987,-49.951
72991.515,297.194,0.856,14.937,95.448,94.678,-9.080,-5.016,-3.849,-3.340,-1.403,-6.539,-6.621,-7.920,-5.024,-1.667,0.211,-6.266,1.047,-0.627,-3.939,-6.192,0.000,11.166,26.402,-0.075,240.004,-49.951
72987.484,297.194,0.856,14.937,95.448,95.158,-8.648,-5.685,-3.849,-3.027,-1.727,-5.917,-7.262,-6.207,-4.689,-1.563,0.423,-7.222,0.838,-0.627,-3.731,-5.742,0.000,11.089,26.402,-0.072,240.020,-49.961
72991.515,297.192,0.856,14.931,95.369,95.318,-9.404,-5.128,-4.383,-3.445,-2.159,-6.851,-6.514,-6.742,-4.019,-1.563,0.423,-6.053,0.524,-0.313,-3.524,-5.742,0.000,11.012,26.372,-0.068,240.004,-49.951
72991.515,297.195,0.856,14.925,95.290,94.838,-8.864,-5.016,-3.635,-2.923,-1.511,-5.709,-7.369,-6.849,-3.907,-1.875,0.951,-5.947,1.466,-1.254,-3.317,-5.516,0.000,10.954,26.372,-0.065,239.987,-49.951
72991.515,297.194,0.856,14.937,95.448,94.998,-9.296,-4.905,-3.421,-3.236,-1.619,-5.501,-6.941,-7.385,-4.242,-1.459,0.423,-6.584,0.838,-1.149,-3.731,-5.516,0.000,10.877,26.351,-0.061,240.020,-49.951
72991.515,297.194,0.856,14.925,95.290,95.158,-8.215,-5.685,-3.635,-2.818,-1.835,-6.332,-6.835,-6.742,-4.577,-1.250,1.373,-6.797,1.780,-0.731,-3.317,-5.404,0.000,10.839,26.331,-0.057,240.004,-49.940
72983.453,297.195,0.856,14.938,95.448,94.998,-8.540,-3.901,-3.314,-2.818,-1.403,-6.539,-5.980,-6.742,-4.019,-1.146,1.268,-6.053,1.256,-0.522,-3.109,-5.404,0.000,10.762,26.351,-0.054,240.004,-49.951
72991.515,297.194,0.856,14.937,95.448,94.838,-8.540,-5.016,-2.886,-3.236,-1.296,-5.294,-6.514,-6.635,-3.796,-1.355,1.162,-6.160,1.570,-0.313,-3.317,-5.066,0.000,10.685,26.341,-0.048,239.987,-49.940
72983.453,297.194,0.856,14.938,95.448,94.838,-8.215,-4.236,-3.635,-2.923,-0.756,-5.086,-5.980,-6.849,-3.684,-0.625,0.528,-6.160,1.570,-0.313,-2.487,-5.066,0.000,10.608,26.341,-0.045,239.987,-49.940
72991.515,297.195,0.856,14.937,95.448,94.838,-8.215,-4.793,-3.421,-2.401,-0.972,-5.294,-6.407,-6.100,-3.907,-0.625,2.007,-6.691,1.885,0.105,-3.317,-5.066,0.000,10.589,26.362,-0.041,239.987,-49.961
72991.515,297.195,0.856,14.943,95.527,94.678,-7.891,-4.013,-3.528,-2.401,-0.756,-6.228,-6.621,-6.207,-3.907,-0.834,1.373,-5.310,1.780,-0.104,-2.695,-5.854,0.000,10.473,26.331,-0.038,239.971,-49.961
72987.484,297.192,0.856,14.937,95.448,94.838,-7.567,-4.236,-3.849,-2.401,-1.080,-5.501,-6.301,-6.528,-3.572,-0.938,1.056,-5.522,2.094,-0.000,-3.006,-4.503,0.000,10.473,26.341,-0.034,240.020,-49.961
72991.515,297.194,0.856,14.943,95.527,94.838,-8.323,-3.901,-2.566,-2.923,-1.080,-4.879,-5.873,-6.528,-3.349,0.000,0.739,-5.629,1.675,-0.836,-2.798,-4.616,0.000,10.339,26.362,-0.031,239.987,-49.951
72995.547,297.194,0.856,14.943,95.527,94.998,-7.567,-5.239,-3.421,-1.983,-2.051,-5.190,-5.980,-6.528,-3.796,-0.834,1.902,-6.372,1.780,-0.418,-3.213,-4.954,0.000,10.300,26.392,-0.026,240.004,-49.940
72995.547,297.194,0.856,14.943,95.527,94.838,-8.540,-4.682,-3.100,-3.131,-0.972,-6.332,-6.407,-6.635,-3.907,-0.729,1.479,-6.053,1.361,-0.522,-2.695,-5.854,0.000,10.204,26.392,-0.025,239.971,-49.940
72995.547,297.192,0.856,14.949,95.606,94.998,-8.215,-4.905,-3.956,-2.401,-0.756,-5.917,-6.621,-6.849,-3.126,-2.084,0.423,-6.053,1.152,-0.522,-3.213,-5.629,0.000,10.146,26.423,-0.021,239.987,-49.951
72991.515,297.198,0.856,14.943,95.527,94.838,-9.188,-5.128,-3.956,-4.071,-0.972,-6.020,-7.369,-7.813,-4.130,-0.625,-0.211,-6.797,0.838,-1.881,-3.524,-5.516,0.000,10.069,26.423,-0.018,240.004,-49.961
72987.484,297.194,0.856,14.937,95.448,94.678,-8.756,-5.016,-3.421,-2.714,-2.483,-6.332,-7.155,-7.278,-4.130,-0.521,0.739,-7.009,0.942,-0.731,-4.042,-5.404,0.000,9.954,26.463,-0.017,239.971,-49.940
72991.515,297.194,0.856,14.943,95.527,94.838,-8.540,-5.128,-3.956,-3.131,-1.080,-6.020,-6.941,-6.956,-4.912,-1.250,1.056,-6.478,0.733,-0.627,-3.317,-6.079,0.000,9.896,26.463,-0.014,239.987,-49.951
72995.547,297.194,0.856,14.949,95.606,94.678,-8.972,-4.459,-4.062,-2.714,-1.619,-5.398,-6.621,-6.849,-3.907,-1.980,0.528,-5.841,0.628,-1.045,-3.109,-5.291,0.000,9.819,26.473,-0.013,240.004,-49.951
72999.578,297.195,0.856,14.948,95.606,94.838,-9.296,-5.128,-3.742,-3.549,-1.511,-5.813,-7.048,-6.956,-4.242,-1.042,0.528,-6.266,1.152,-1.672,-3.420,-5.742,0.000,9.742,26.544,-0.012,239.987,-49.951
72999.578,297.197,0.856,14.942,95.527,94.678,-8.972,-4.905,-4.062,-2.818,-1.511,-5.813,-6.941,-7.492,-4.465,-1.667,0.634,-6.691,1.047,-0.418,-3.835,-5.516,0.000,9.646,26.575,-0.010,239.987,-49.961
72995.547,297.194,0.856,14.955,95.685,94.838,-8.432,-5.016,-3.742,-2.923,-1.727,-6.436,-6.514,-6.635,-4.912,-1.563,1.056,-6.903,1.152,-0.000,-3.213,-5.629,0.000,9.588,26.626,-0.010,240.004,-49.972
72995.547,297.195,0.856,14.955,95.685,94.838,-8.648,-4.793,-4.383,-2.714,-1.727,-5.917,-6.301,-6.956,-3.461,-1.875,0.528,-6.053,0.942,-0.313,-3.109,-5.516,0.000,9.492,26.656,-0.010,239.955,-49.940
