%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73092.300,297.650,0.855,24.972,266.732,265.924,-13.512,-8.137,-7.697,-5.951,-3.779,-9.965,-10.145,-9.204,-8.484,-5.106,-2.425,-9.770,-2.718,-4.284,-6.322,-9.569,0.000,-32.461,-24.272,0.979,-90.052,-47.360
73100.362,297.650,0.856,24.978,266.890,265.924,-13.188,-8.472,-8.339,-5.429,-3.995,-9.238,-9.931,-9.097,-8.149,-5.940,-2.214,-10.089,-2.404,-4.284,-6.530,-9.119,0.000,-32.422,-24.312,0.983,-90.036,-47.381
73100.362,297.650,0.856,24.974,266.811,266.244,-13.728,-9.475,-7.697,-6.368,-3.995,-9.653,-10.252,-9.097,-8.149,-4.794,-2.425,-9.876,-2.823,-5.120,-6.115,-8.894,0.000,-32.364,-24.353,0.986,-90.019,-47.370
73096.331,297.648,0.856,24.978,266.890,266.244,-13.080,-8.917,-6.842,-5.324,-4.102,-9.653,-9.077,-10.060,-7.814,-4.585,-2.320,-9.239,-2.404,-3.971,-6.530,-9.119,0.000,-32.287,-24.383,0.991,-90.052,-47.349
73096.331,297.650,0.856,24.978,266.890,266.084,-13.296,-9.140,-7.163,-5.637,-3.455,-9.861,-9.931,-8.455,-8.819,-5.002,-2.636,-9.664,-2.509,-4.284,-6.115,-9.119,0.000,-32.249,-24.404,0.996,-90.019,-47.392
73096.331,297.650,0.856,24.975,266.811,265.764,-13.296,-8.137,-7.804,-5.533,-3.995,-9.757,-9.504,-8.990,-7.256,-5.106,-2.214,-8.921,-2.614,-3.866,-5.804,-9.119,0.000,-32.172,-24.414,1.000,-90.036,-47.360
73092.300,297.648,0.855,24.968,266.653,266.084,-13.296,-8.472,-6.521,-5.846,-4.102,-9.757,-10.679,-9.525,-8.149,-5.627,-2.952,-9.876,-1.882,-4.807,-6.426,-8.331,0.000,-32.095,-24.454,1.005,-90.019,-47.381
73088.268,297.650,0.855,24.976,266.811,266.084,-13.836,-8.806,-6.628,-6.055,-3.995,-9.238,-9.397,-10.060,-7.926,-5.002,-2.847,-9.878,-1.986,-4.180,-6.530,-9.232,0.000,-32.076,-24.495,1.011,-90.036,-47.349
73100.362,297.650,0.856,24.974,266.811,265.924,-12.755,-9.029,-7.697,-6.055,-4.642,-9.757,-10.145,-9.097,-8.038,-5.627,-2.003,-10.303,-2.823,-4.493,-6.633,-8.781,0.000,-31.999,-24.505,1.015,-90.019,-47.370
73092.300,297.652,0.855,24.972,266.732,266.084,-13.728,-8.360,-7.590,-6.786,-3.995,-10.172,-9.718,-8.883,-8.038,-4.794,-2.636,-9.134,-2.195,-4.180,-6.219,-9.907,0.000,-31.922,-24.546,1.019,-90.036,-47.370
