%Time (sec),Pressure (psi),Top of Top (C),Bottom of Top (C),Top of Bottom (C),Bottom of Bottom (C),Current (A),Opt Switch,%9/12/20194:04 PM
0,0.054877,25.999323,26.144887,37.776233,36.996677,0.17938,0,
0.000605,0.054939,25.999323,26.144887,37.776233,36.996677,0.189697,0,
0.001211,0.054881,25.999323,26.144887,37.776233,36.996677,0.183049,0,
0.001816,0.054757,25.999323,26.144887,37.776233,36.996677,0.185191,0,
0.002422,0.054817,25.999323,26.144887,37.776233,36.996677,0.18206,0,
0.003027,0.054732,25.999323,26.144887,37.776233,36.996677,0.173182,0,
0.003633,0.054705,25.999323,26.144887,37.776233,36.996677,0.183355,0,
0.004238,0.05463,25.999323,26.144887,37.776233,36.996677,0.182511,0,
0.004844,0.05461,25.999323,26.144887,37.776233,36.996677,0.175097,0,
0.005449,0.05461,25.999323,26.144887,37.776233,36.996677,0.177665,0,
0.006055,0.05438,25.999323,26.144887,37.776233,36.996677,0.178163,0,
0.00666,0.054353,25.999323,26.144887,37.776233,36.996677,0.183072,0,
0.007266,0.054388,25.999323,26.144887,37.776233,36.996677,0.181835,0,
0.007871,0.054287,25.999323,26.144887,37.776233,36.996677,0.188652,0,
0.008477,0.054159,25.999323,26.144887,37.776233,36.996677,0.18587,0,
0.009082,0.054335,26.055189,26.147468,37.779879,36.825516,0.178875,0,
0.009687,0.054155,26.055189,26.147468,37.779879,36.825516,0.175081,0,
0.010293,0.054078,26.055189,26.147468,37.779879,36.825516,0.180398,0,
0.010898,0.054045,26.055189,26.147468,37.779879,36.825516,0.173041,0,
0.011504,0.05401,26.055189,26.147468,37.779879,36.825516,0.184087,0,
0.012109,0.053931,26.055189,26.147468,37.779879,36.825516,0.177227,0,
0.012715,0.053782,26.055189,26.147468,37.779879,36.825516,0.190716,0,
0.01332,0.053727,26.055189,26.147468,37.779879,36.825516,0.186899,0,
0.013926,0.053681,26.055189,26.147468,37.779879,36.825516,0.181493,0,
0.014531,0.053559,26.055189,26.147468,37.779879,36.825516,0.18205,0,
0.015137,0.053532,26.055189,26.147468,37.779879,36.825516,0.180847,0,
0.015742,0.05346,26.055189,26.147468,37.779879,36.825516,0.178048,0,
0.016348,0.053363,26.055189,26.147468,37.779879,36.825516,0.179096,0,
0.016953,0.053379,26.055189,26.147468,37.779879,36.825516,0.179274,0,
0.017559,0.053253,26.055189,26.147468,37.779879,36.825516,0.181104,0,
0.018164,0.053166,26.055189,26.147468,37.779879,36.825516,0.175908,0,
0.01877,0.053042,26.055189,26.147468,37.779879,36.825516,0.18862,0,
0.019375,0.052707,26.055189,26.147468,37.779879,36.825516,0.138237,0,
0.01998,0.052651,26.055189,26.147468,37.779879,36.825516,-0.00801,0,
0.020586,0.052684,26.055189,26.147468,37.779879,36.825516,0.009955,0,
0.021191,0.052622,26.055189,26.147468,37.779879,36.825516,0.000465,0,
0.021797,0.052531,26.055189,26.147468,37.779879,36.825516,0.003662,0,
0.022402,0.052171,26.055189,26.147468,37.779879,36.825516,0.00296,0,
0.023008,0.052223,26.055189,26.147468,37.779879,36.825516,0.005495,0,
0.023613,0.052151,26.055189,26.147468,37.779879,36.825516,-0.000801,0,
0.024219,0.052159,26.055189,26.147468,37.779879,36.825516,0.005805,0,
0.024824,0.051838,26.055189,26.147468,37.779879,36.825516,0.004503,0,
0.02543,0.051816,26.055189,26.147468,37.779879,36.825516,0.002383,0,
0.026035,0.051783,26.055189,26.147468,37.779879,36.825516,0.004266,0,
0.026641,0.051507,26.055189,26.147468,37.779879,36.825516,0.003023,0,
0.027246,0.051377,26.04799,26.255109,37.790454,36.996677,0.008561,0,
0.027852,0.051158,26.04799,26.255109,37.790454,36.996677,0.003933,0,
0.028457,0.051162,26.04799,26.255109,37.790454,36.996677,0.002093,0,
0.029062,0.050978,26.04799,26.255109,37.790454,36.996677,0.005578,0,
0.029668,0.051034,26.04799,26.255109,37.790454,36.996677,0.004124,0,
0.030273,0.050873,26.04799,26.255109,37.790454,36.996677,0.00295,0,
0.030879,0.050626,26.04799,26.255109,37.790454,36.996677,0.006876,0,
0.031484,0.050498,26.04799,26.255109,37.790454,36.996677,0.000234,0,
0.03209,0.05031,26.04799,26.255109,37.790454,36.996677,-0.005212,0,
0.032695,0.050279,26.04799,26.255109,37.790454,36.996677,5.60E-05,0,
0.033301,0.050068,26.04799,26.255109,37.790454,36.996677,0.005973,0,
0.033906,0.049818,26.04799,26.255109,37.790454,36.996677,0.004302,0,
0.034512,0.049793,26.04799,26.255109,37.790454,36.996677,-0.000808,0,
0.035117,0.049675,26.04799,26.255109,37.790454,36.996677,0.006435,0,
0.035723,0.049541,26.04799,26.255109,37.790454,36.996677,0.007842,0,
0.036328,0.049268,26.04799,26.255109,37.790454,36.996677,-0.001375,0,
0.036934,0.049154,26.04799,26.255109,37.790454,36.996677,-0.000333,0,
0.037539,0.049001,26.04799,26.255109,37.790454,36.996677,0.001009,0,
0.038145,0.048808,26.04799,26.255109,37.790454,36.996677,0.007213,0,
0.03875,0.048587,26.04799,26.255109,37.790454,36.996677,-0.007773,0,
0.039355,0.048459,26.04799,26.255109,37.790454,36.996677,0.012048,0,
0.039961,0.048324,26.04799,26.255109,37.790454,36.996677,-0.010005,0,
0.040566,0.048341,26.04799,26.255109,37.790454,36.996677,0.146247,0,
0.041172,0.048542,26.04799,26.255109,37.790454,36.996677,0.195295,0,
0.041777,0.047969,26.04799,26.255109,37.790454,36.996677,0.166266,0,
0.042383,0.047733,26.04799,26.255109,37.790454,36.996677,0.179317,0,
0.042988,0.047439,26.04799,26.255109,37.790454,36.996677,0.17159,0,
0.043594,0.047212,26.04799,26.255109,37.790454,36.996677,0.182455,0,
0.044199,0.047288,26.04799,26.255109,37.790454,36.996677,0.186658,0,
0.044805,0.047377,26.04799,26.255109,37.790454,36.996677,0.180382,0,
0.04541,0.046962,25.998585,26.242208,37.845881,36.908363,0.168791,0,
0.046016,0.046715,25.998585,26.242208,37.845881,36.908363,0.180606,0,
0.046621,0.046529,25.998585,26.242208,37.845881,36.908363,0.180329,0,
0.047227,0.04607,25.998585,26.242208,37.845881,36.908363,0.177131,0,
0.047832,0.046132,25.998585,26.242208,37.845881,36.908363,0.184657,0,
0.048438,0.045841,25.998585,26.242208,37.845881,36.908363,0.188158,0,
0.049043,0.045615,25.998585,26.242208,37.845881,36.908363,0.182956,0,
0.049648,0.045222,25.998585,26.242208,37.845881,36.908363,0.181137,0,
0.050254,0.044705,25.998585,26.242208,37.845881,36.908363,0.186434,0,
0.050859,0.044471,25.998585,26.242208,37.845881,36.908363,0.180668,0,
0.051465,0.044544,25.998585,26.242208,37.845881,36.908363,0.179472,0,
0.05207,0.044602,25.998585,26.242208,37.845881,36.908363,0.184904,0,
0.052676,0.044606,25.998585,26.242208,37.845881,36.908363,0.180603,0,
0.053281,0.044492,25.998585,26.242208,37.845881,36.908363,0.178081,0,
0.053887,0.044275,25.998585,26.242208,37.845881,36.908363,0.178021,0,
0.054492,0.044213,25.998585,26.242208,37.845881,36.908363,0.183856,0,
0.055098,0.044018,25.998585,26.242208,37.845881,36.908363,0.180045,0,
0.055703,0.043793,25.998585,26.242208,37.845881,36.908363,0.18913,0,
0.056309,0.043472,25.998585,26.242208,37.845881,36.908363,0.178684,0,
0.056914,0.043377,25.998585,26.242208,37.845881,36.908363,0.173364,0,
0.05752,0.043048,25.998585,26.242208,37.845881,36.908363,0.178694,0,
0.058125,0.042711,25.998585,26.242208,37.845881,36.908363,0.181301,0,
0.05873,0.042523,25.998585,26.242208,37.845881,36.908363,0.174695,0,
0.059336,0.042145,25.998585,26.242208,37.845881,36.908363,0.183655,0,
0.059941,0.041897,25.998585,26.242208,37.845881,36.908363,0.181252,0,
0.060547,0.041686,25.998585,26.242208,37.845881,36.908363,0.176327,0,
0.061152,0.04152,25.998585,26.242208,37.845881,36.908363,0.178381,0,
0.061758,0.041094,25.998585,26.242208,37.845881,36.908363,0.177817,0,
0.062363,0.040904,25.998585,26.242208,37.845881,36.908363,0.182887,0,
