%Time (sec),Pressure (psi),Top of Top (C),Bottom of Top (C),Top of Bottom (C),Bottom of Bottom (C),Current (A),Opt Switch,%9/12/20194:01 PM
97.005781,-0.009083,25.937606,26.041371,35.86245,35.271574,0.006501,0,
97.006387,-0.009283,25.937606,26.041371,35.86245,35.271574,0.004105,0,
97.006992,-0.009705,25.937606,26.041371,35.86245,35.271574,0.013691,0,
97.007598,-0.009982,25.937606,26.041371,35.86245,35.271574,0.019031,0,
97.008203,-0.010282,25.937606,26.041371,35.86245,35.271574,0.00635,0,
97.008809,-0.010578,25.937606,26.041371,35.86245,35.271574,-0.0002,0,
97.009414,-0.010909,25.937606,26.041371,35.86245,35.271574,0.01226,0,
97.01002,-0.011049,25.937606,26.041371,35.86245,35.271574,0.005799,0,
97.010625,-0.011463,25.937606,26.041371,35.86245,35.271574,0.005183,0,
97.01123,-0.011827,25.937606,26.041371,35.86245,35.271574,0.008436,0,
97.011836,-0.012214,25.937606,26.041371,35.86245,35.271574,0.010998,0,
97.012441,-0.012456,25.937606,26.041371,35.86245,35.271574,0.004299,0,
97.013047,-0.012625,25.937606,26.041371,35.86245,35.271574,0.00812,0,
97.013652,-0.012859,25.937606,26.041371,35.86245,35.271574,0.00688,0,
97.014258,-0.013513,25.953461,25.983687,35.891504,35.24672,0.006785,0,
97.014863,-0.013573,25.953461,25.983687,35.891504,35.24672,0.009185,0,
97.015469,-0.014013,25.953461,25.983687,35.891504,35.24672,0.0045,0,
97.016074,-0.014154,25.953461,25.983687,35.891504,35.24672,-0.000451,0,
97.01668,-0.014359,25.953461,25.983687,35.891504,35.24672,0.011195,0,
97.017285,-0.014586,25.953461,25.983687,35.891504,35.24672,0.000746,0,
97.017891,-0.015087,25.953461,25.983687,35.891504,35.24672,0.009148,0,
97.018496,-0.015238,25.953461,25.983687,35.891504,35.24672,0.001573,0,
97.019102,-0.015676,25.953461,25.983687,35.891504,35.24672,0.004665,0,
97.019707,-0.016042,25.953461,25.983687,35.891504,35.24672,0.00692,0,
97.020313,-0.016181,25.953461,25.983687,35.891504,35.24672,0.012273,0,
97.020918,-0.016443,25.953461,25.983687,35.891504,35.24672,0.006706,0,
97.021523,-0.016731,25.953461,25.983687,35.891504,35.24672,0.009458,0,
97.022129,-0.017076,25.953461,25.983687,35.891504,35.24672,0.0081,0,
97.022734,-0.017457,25.953461,25.983687,35.891504,35.24672,0.002588,0,
97.02334,-0.017626,25.953461,25.983687,35.891504,35.24672,0.011063,0,
97.023945,-0.017835,25.953461,25.983687,35.891504,35.24672,0.016572,0,
97.024551,-0.018158,25.953461,25.983687,35.891504,35.24672,0.004072,0,
97.025156,-0.018356,25.953461,25.983687,35.891504,35.24672,0.010104,0,
97.025762,-0.018925,25.953461,25.983687,35.891504,35.24672,0.009214,0,
97.026367,-0.019084,25.953461,25.983687,35.891504,35.24672,0.005829,0,
97.026973,-0.019386,25.953461,25.983687,35.891504,35.24672,0.00807,0,
97.027578,-0.019604,25.953461,25.983687,35.891504,35.24672,0.00751,0,
97.028184,-0.019783,25.953461,25.983687,35.891504,35.24672,0.011126,0,
97.028789,-0.020067,25.953461,25.983687,35.891504,35.24672,0.009501,0,
97.029395,-0.020336,25.953461,25.983687,35.891504,35.24672,0.011851,0,
97.03,-0.020758,25.953461,25.983687,35.891504,35.24672,0.01587,0,
97.030605,-0.02101,25.953461,25.983687,35.891504,35.24672,0.005746,0,
97.031211,-0.021306,25.953461,25.983687,35.891504,35.24672,0.013256,0,
97.031816,-0.021529,25.953461,25.983687,35.891504,35.24672,0.013005,0,
97.032422,-0.021725,25.9424,26.029775,35.849495,35.287104,0.005822,0,
97.033027,-0.022038,25.9424,26.029775,35.849495,35.287104,0.000973,0,
97.033633,-0.022375,25.9424,26.029775,35.849495,35.287104,0.004326,0,
97.034238,-0.022576,25.9424,26.029775,35.849495,35.287104,0.003264,0,
97.034844,-0.022968,25.9424,26.029775,35.849495,35.287104,0.007101,0,
97.035449,-0.023138,25.9424,26.029775,35.849495,35.287104,0.011591,0,
97.036055,-0.023268,25.9424,26.029775,35.849495,35.287104,0.015913,0,
97.03666,-0.023792,25.9424,26.029775,35.849495,35.287104,0.014116,0,
97.037266,-0.023862,25.9424,26.029775,35.849495,35.287104,0.009775,0,
97.037871,-0.023965,25.9424,26.029775,35.849495,35.287104,0.015128,0,
97.038477,-0.024362,25.9424,26.029775,35.849495,35.287104,0.008351,0,
97.039082,-0.024658,25.9424,26.029775,35.849495,35.287104,0.007256,0,
