%Time (ms),Hubangle(Theta in rad),Tip Deflection(m),Hub Angular Velocity (rads/s),Tip Velocity (m/s),Position Reference (rad),Output Voltage (V),K1 (Hub Prop),K2 (Tip Prop),K3 (Hub Deriv),K4 (Tip Deriv),%4/30/20192:16 PM,
218572,0.202,0,-0.026,0,0.2,-0.061,24,0,-0.05,0,0,0
218573,0.209,0,-0.008,0,0.2,-0.207,24,0,-0.05,0,0,0
218574,0.209,0,0.019,0,0.2,-0.206,24,0,-0.05,0,0,0
218575,0.202,0,0.016,0,0.2,-0.059,24,0,-0.05,0,0,0
218576,0.202,0,0.02,0,0.2,-0.059,24,0,-0.05,0,0,0
218577,0.202,0,0.025,0,0.2,-0.058,24,0,-0.05,0,0,0
218578,0.202,0,0.014,0,0.2,-0.059,24,0,-0.05,0,0,0
218579,0.202,0,0.011,0,0.2,-0.059,24,0,-0.05,0,0,0
218580,0.202,0,0.013,0,0.2,-0.059,24,0,-0.05,0,0,0
218581,0.196,0,-0.005,0,0.2,0.087,24,0,-0.05,0,0,0
218582,0.202,0,-0.013,0,0.2,-0.06,24,0,-0.05,0,0,0
218583,0.202,0,-0.009,0,0.2,-0.06,24,0,-0.05,0,0,0
218584,0.202,0,-0.019,0,0.2,-0.061,24,0,-0.05,0,0,0
218585,0.202,0,-0.015,0,0.2,-0.06,24,0,-0.05,0,0,0
218586,0.202,0,-0.01,0,0.2,-0.06,24,0,-0.05,0,0,0
218587,0.202,0,-0.014,0,0.2,-0.06,24,0,-0.05,0,0,0
218588,0.202,0,-0.013,0,0.2,-0.06,24,0,-0.05,0,0,0
218589,0.202,0,-0.012,0,0.2,-0.06,24,0,-0.05,0,0,0
218590,0.209,0,0.002,0,0.2,-0.207,24,0,-0.05,0,0,0
218591,0.202,0,0.009,0,0.2,-0.059,24,0,-0.05,0,0,0
218592,0.202,0,0.004,0,0.2,-0.06,24,0,-0.05,0,0,0
218593,0.202,0,0.012,0,0.2,-0.059,24,0,-0.05,0,0,0
218594,0.202,0,0.008,0,0.2,-0.059,24,0,-0.05,0,0,0
218595,0.202,0,0.001,0,0.2,-0.06,24,0,-0.05,0,0,0
218596,0.202,0,0.005,0,0.2,-0.059,24,0,-0.05,0,0,0
218597,0.202,0,0.002,0,0.2,-0.06,24,0,-0.05,0,0,0
218598,0.202,0,0.001,0,0.2,-0.06,24,0,-0.05,0,0,0
218599,0.202,0,0,0,0.2,-0.06,24,0,-0.05,0,0,0
218600,0.202,0,0,0,0.2,-0.06,24,0,-0.05,0,0,0
218601,0.202,0,-0.001,0,0.2,-0.06,24,0,-0.05,0,0,0
218602,0.202,0,-0.002,0,0.2,-0.06,24,0,-0.05,0,0,0
218603,0.202,0,-0.003,0,0.2,-0.06,24,0,-0.05,0,0,0
218604,0.196,0,-0.017,0,0.2,0.087,24,0,-0.05,0,0,0
218605,0.202,0,-0.024,0,0.2,-0.061,24,0,-0.05,0,0,0
218606,0.202,0,-0.019,0,0.2,-0.061,24,0,-0.05,0,0,0
218607,0.209,0,-0.013,0,0.2,-0.208,24,0,-0.05,0,0,0
218608,0.209,0,0.012,0,0.2,-0.206,24,0,-0.05,0,0,0
218609,0.202,0,0.019,0,0.2,-0.059,24,0,-0.05,0,0,0
218610,0.202,0,0.018,0,0.2,-0.059,24,0,-0.05,0,0,0
218611,0.202,0,0.024,0,0.2,-0.059,24,0,-0.05,0,0,0
218612,0.202,0,0.013,0,0.2,-0.059,24,0,-0.05,0,0,0
218613,0.202,0,0.011,0,0.2,-0.059,24,0,-0.05,0,0,0
218614,0.202,0,0.012,0,0.2,-0.059,24,0,-0.05,0,0,0
218615,0.202,0,0.009,0,0.2,-0.059,24,0,-0.05,0,0,0
218616,0.202,0,0.007,0,0.2,-0.059,24,0,-0.05,0,0,0
218617,0.209,0,0.02,0,0.2,-0.206,24,0,-0.05,0,0,0
218618,0.202,0,0.025,0,0.2,-0.058,24,0,-0.05,0,0,0
218619,0.202,0,0.018,0,0.2,-0.059,24,0,-0.05,0,0,0
218620,0.202,0,0.024,0,0.2,-0.059,24,0,-0.05,0,0,0
218621,0.202,0,0.018,0,0.2,-0.059,24,0,-0.05,0,0,0
218622,0.202,0,0.011,0,0.2,-0.059,24,0,-0.05,0,0,0
218623,0.196,0,-0.002,0,0.2,0.087,24,0,-0.05,0,0,0
218624,0.202,0,-0.012,0,0.2,-0.06,24,0,-0.05,0,0,0
218625,0.202,0,-0.008,0,0.2,-0.06,24,0,-0.05,0,0,0
218626,0.209,0,-0.004,0,0.2,-0.207,24,0,-0.05,0,0,0
218627,0.209,0,0.02,0,0.2,-0.206,24,0,-0.05,0,0,0
218628,0.202,0,0.025,0,0.2,-0.058,24,0,-0.05,0,0,0
218629,0.202,0,0.023,0,0.2,-0.059,24,0,-0.05,0,0,0
218630,0.202,0,0.027,0,0.2,-0.058,24,0,-0.05,0,0,0
218631,0.202,0,0.016,0,0.2,-0.059,24,0,-0.05,0,0,0
218632,0.202,0,0.012,0,0.2,-0.059,24,0,-0.05,0,0,0
218633,0.202,0,0.012,0,0.2,-0.059,24,0,-0.05,0,0,0
218634,0.202,0,0.008,0,0.2,-0.059,24,0,-0.05,0,0,0
218635,0.202,0,0.006,0,0.2,-0.059,24,0,-0.05,0,0,0
218636,0.202,0,0.003,0,0.2,-0.06,24,0,-0.05,0,0,0
218637,0.202,0,0.001,0,0.2,-0.06,24,0,-0.05,0,0,0
218638,0.202,0,-0.001,0,0.2,-0.06,24,0,-0.05,0,0,0
218639,0.202,0,-0.003,0,0.2,-0.06,24,0,-0.05,0,0,0
218640,0.196,0,-0.019,0,0.2,0.087,24,0,-0.05,0,0,0
218641,0.202,0,-0.027,0,0.2,-0.061,24,0,-0.05,0,0,0
218642,0.202,0,-0.022,0,0.2,-0.061,24,0,-0.05,0,0,0
218643,0.202,0,-0.031,0,0.2,-0.061,24,0,-0.05,0,0,0
218644,0.209,0,-0.013,0,0.2,-0.208,24,0,-0.05,0,0,0
218645,0.209,0,0.013,0,0.2,-0.206,24,0,-0.05,0,0,0
218646,0.202,0,0.01,0,0.2,-0.059,24,0,-0.05,0,0,0
218647,0.202,0,0.014,0,0.2,-0.059,24,0,-0.05,0,0,0
218648,0.209,0,0.032,0,0.2,-0.205,24,0,-0.05,0,0,0
218649,0.202,0,0.028,0,0.2,-0.058,24,0,-0.05,0,0,0
218650,0.202,0,0.019,0,0.2,-0.059,24,0,-0.05,0,0,0
218651,0.202,0,0.028,0,0.2,-0.058,24,0,-0.05,0,0,0
218652,0.202,0,0.02,0,0.2,-0.059,24,0,-0.05,0,0,0
218653,0.196,0,-0.002,0,0.2,0.087,24,0,-0.05,0,0,0
218654,0.202,0,-0.008,0,0.2,-0.06,24,0,-0.05,0,0,0
218655,0.202,0,-0.006,0,0.2,-0.06,24,0,-0.05,0,0,0
218656,0.196,0,-0.032,0,0.2,0.086,24,0,-0.05,0,0,0
218657,0.196,0,-0.05,0,0.2,0.085,24,0,-0.05,0,0,0
218658,0.202,0,-0.047,0,0.2,-0.062,24,0,-0.05,0,0,0
218659,0.202,0,-0.054,0,0.2,-0.062,24,0,-0.05,0,0,0
218660,0.196,0,-0.071,0,0.2,0.084,24,0,-0.05,0,0,0
218661,0.202,0,-0.066,0,0.2,-0.063,24,0,-0.05,0,0,0
218662,0.209,0,-0.042,0,0.2,-0.209,24,0,-0.05,0,0,0
218663,0.202,0,-0.044,0,0.2,-0.062,24,0,-0.05,0,0,0
218664,0.202,0,-0.042,0,0.2,-0.062,24,0,-0.05,0,0,0
218665,0.202,0,-0.024,0,0.2,-0.061,24,0,-0.05,0,0,0
218666,0.202,0,-0.029,0,0.2,-0.061,24,0,-0.05,0,0,0
218667,0.202,0,-0.03,0,0.2,-0.061,24,0,-0.05,0,0,0
218668,0.196,0,-0.038,0,0.2,0.086,24,0,-0.05,0,0,0
218669,0.202,0,-0.043,0,0.2,-0.062,24,0,-0.05,0,0,0
218670,0.202,0,-0.035,0,0.2,-0.061,24,0,-0.05,0,0,0
218671,0.202,0,-0.042,0,0.2,-0.062,24,0,-0.05,0,0,0
218672,0.196,0,-0.049,0,0.2,0.085,24,0,-0.05,0,0,0
218673,0.202,0,-0.047,0,0.2,-0.062,24,0,-0.05,0,0,0
218674,0.202,0,-0.042,0,0.2,-0.062,24,0,-0.05,0,0,0
218675,0.209,0,-0.032,0,0.2,-0.209,24,0,-0.05,0,0,0
218676,0.202,0,-0.018,0,0.2,-0.061,24,0,-0.05,0,0,0
218677,0.202,0,-0.014,0,0.2,-0.06,24,0,-0.05,0,0,0
218678,0.202,0,-0.006,0,0.2,-0.06,24,0,-0.05,0,0,0
218679,0.202,0,-0.006,0,0.2,-0.06,24,0,-0.05,0,0,0
218680,0.202,0,-0.009,0,0.2,-0.06,24,0,-0.05,0,0,0
218681,0.202,0,-0.003,0,0.2,-0.06,24,0,-0.05,0,0,0
218682,0.196,0,-0.016,0,0.2,0.087,24,0,-0.05,0,0,0
218683,0.202,0,-0.021,0,0.2,-0.061,24,0,-0.05,0,0,0
218684,0.202,0,-0.014,0,0.2,-0.06,24,0,-0.05,0,0,0
218685,0.202,0,-0.02,0,0.2,-0.061,24,0,-0.05,0,0,0
218686,0.202,0,-0.014,0,0.2,-0.06,24,0,-0.05,0,0,0
218687,0.202,0,-0.007,0,0.2,-0.06,24,0,-0.05,0,0,0
218688,0.202,0,-0.008,0,0.2,-0.06,24,0,-0.05,0,0,0
218689,0.202,0,-0.005,0,0.2,-0.06,24,0,-0.05,0,0,0
218690,0.196,0,-0.017,0,0.2,0.087,24,0,-0.05,0,0,0
218691,0.196,0,-0.036,0,0.2,0.086,24,0,-0.05,0,0,0
218692,0.202,0,-0.034,0,0.2,-0.061,24,0,-0.05,0,0,0
218693,0.202,0,-0.035,0,0.2,-0.061,24,0,-0.05,0,0,0
218694,0.202,0,-0.036,0,0.2,-0.062,24,0,-0.05,0,0,0
218695,0.202,0,-0.023,0,0.2,-0.061,24,0,-0.05,0,0,0
218696,0.209,0,-0.004,0,0.2,-0.207,24,0,-0.05,0,0,0
218697,0.202,0,0.003,0,0.2,-0.06,24,0,-0.05,0,0,0
218698,0.202,0,0.003,0,0.2,-0.06,24,0,-0.05,0,0,0
218699,0.202,0,0.014,0,0.2,-0.059,24,0,-0.05,0,0,0
218700,0.202,0,0.013,0,0.2,-0.059,24,0,-0.05,0,0,0
218701,0.202,0,0.01,0,0.2,-0.059,24,0,-0.05,0,0,0
218702,0.202,0,0.015,0,0.2,-0.059,24,0,-0.05,0,0,0
218703,0.202,0,0.015,0,0.2,-0.059,24,0,-0.05,0,0,0
218704,0.202,0,0.016,0,0.2,-0.059,24,0,-0.05,0,0,0
218705,0.202,0,0.017,0,0.2,-0.059,24,0,-0.05,0,0,0
218706,0.202,0,0.018,0,0.2,-0.059,24,0,-0.05,0,0,0
218707,0.209,0,0.032,0,0.2,-0.205,24,0,-0.05,0,0,0
218708,0.202,0,0.039,0,0.2,-0.058,24,0,-0.05,0,0,0
218709,0.196,0,0.02,0,0.2,0.089,24,0,-0.05,0,0,0
218710,0.196,0,0.007,0,0.2,0.088,24,0,-0.05,0,0,0
218711,0.202,0,0.002,0,0.2,-0.06,24,0,-0.05,0,0,0
218712,0.202,0,-0.007,0,0.2,-0.06,24,0,-0.05,0,0,0
218713,0.202,0,-0.007,0,0.2,-0.06,24,0,-0.05,0,0,0
218714,0.202,0,0.001,0,0.2,-0.06,24,0,-0.05,0,0,0
218715,0.202,0,0.004,0,0.2,-0.06,24,0,-0.05,0,0,0
218716,0.202,0,0.002,0,0.2,-0.06,24,0,-0.05,0,0,0
218717,0.202,0,0.004,0,0.2,-0.059,24,0,-0.05,0,0,0
218718,0.202,0,0.006,0,0.2,-0.059,24,0,-0.05,0,0,0
218719,0.202,0,0.007,0,0.2,-0.059,24,0,-0.05,0,0,0
