%Time (ms),Hubangle(Theta in rad),Tip Deflection(m),Hub Angular Velocity (rads/s),Tip Velocity (m/s),Position Reference (rad),Output Voltage (V),K1 (Hub Prop),K2 (Tip Prop),K3 (Hub Deriv),K4 (Tip Deriv),%4/30/20192:17 PM,
272388,-0.202,0,-0.035,0,-0.2,0.039,18,0,-0.17,0,0,0
272389,-0.196,0,-0.029,0,-0.2,-0.071,18,0,-0.17,0,0,0
272390,-0.202,0,-0.037,0,-0.2,0.038,18,0,-0.17,0,0,0
272391,-0.202,0,-0.045,0,-0.2,0.037,18,0,-0.17,0,0,0
272392,-0.196,0,-0.03,0,-0.2,-0.071,18,0,-0.17,0,0,0
272393,-0.196,0,-0.02,0,-0.2,-0.069,18,0,-0.17,0,0,0
272394,-0.196,0,-0.016,0,-0.2,-0.069,18,0,-0.17,0,0,0
272395,-0.202,0,-0.009,0,-0.2,0.043,18,0,-0.17,0,0,0
272396,-0.202,0,-0.017,0,-0.2,0.042,18,0,-0.17,0,0,0
272397,-0.196,0,-0.011,0,-0.2,-0.068,18,0,-0.17,0,0,0
272398,-0.196,0,-0.002,0,-0.2,-0.066,18,0,-0.17,0,0,0
272399,-0.196,0,0.003,0,-0.2,-0.065,18,0,-0.17,0,0,0
272400,-0.196,0,0.022,0,-0.2,-0.062,18,0,-0.17,0,0,0
272401,-0.196,0,0.033,0,-0.2,-0.06,18,0,-0.17,0,0,0
272402,-0.196,0,0.039,0,-0.2,-0.059,18,0,-0.17,0,0,0
272403,-0.196,0,0.048,0,-0.2,-0.058,18,0,-0.17,0,0,0
272404,-0.202,0,0.041,0,-0.2,0.052,18,0,-0.17,0,0,0
272405,-0.202,0,0.027,0,-0.2,0.049,18,0,-0.17,0,0,0
272406,-0.196,0,0.032,0,-0.2,-0.06,18,0,-0.17,0,0,0
272407,-0.196,0,0.035,0,-0.2,-0.06,18,0,-0.17,0,0,0
272408,-0.202,0,0.022,0,-0.2,0.048,18,0,-0.17,0,0,0
272409,-0.202,0,0.016,0,-0.2,0.047,18,0,-0.17,0,0,0
272410,-0.202,0,0.008,0,-0.2,0.046,18,0,-0.17,0,0,0
272411,-0.196,0,0.002,0,-0.2,-0.065,18,0,-0.17,0,0,0
272412,-0.196,0,0.011,0,-0.2,-0.064,18,0,-0.17,0,0,0
272413,-0.202,0,0.004,0,-0.2,0.045,18,0,-0.17,0,0,0
272414,-0.196,0,0.01,0,-0.2,-0.064,18,0,-0.17,0,0,0
272415,-0.202,0,0.012,0,-0.2,0.047,18,0,-0.17,0,0,0
272416,-0.202,0,-0.013,0,-0.2,0.042,18,0,-0.17,0,0,0
272417,-0.196,0,-0.002,0,-0.2,-0.066,18,0,-0.17,0,0,0
272418,-0.196,0,0.008,0,-0.2,-0.064,18,0,-0.17,0,0,0
272419,-0.202,0,-0.007,0,-0.2,0.044,18,0,-0.17,0,0,0
272420,-0.196,0,0.005,0,-0.2,-0.065,18,0,-0.17,0,0,0
272421,-0.196,0,0.02,0,-0.2,-0.062,18,0,-0.17,0,0,0
272422,-0.196,0,0.016,0,-0.2,-0.063,18,0,-0.17,0,0,0
272423,-0.202,0,0.015,0,-0.2,0.047,18,0,-0.17,0,0,0
272424,-0.196,0,0.021,0,-0.2,-0.062,18,0,-0.17,0,0,0
272425,-0.202,0,0.015,0,-0.2,0.047,18,0,-0.17,0,0,0
272426,-0.196,0,0.008,0,-0.2,-0.064,18,0,-0.17,0,0,0
272427,-0.196,0,0.024,0,-0.2,-0.062,18,0,-0.17,0,0,0
272428,-0.196,0,0.028,0,-0.2,-0.061,18,0,-0.17,0,0,0
272429,-0.196,0,0.034,0,-0.2,-0.06,18,0,-0.17,0,0,0
272430,-0.19,0,0.061,0,-0.2,-0.166,18,0,-0.17,0,0,0
272431,-0.196,0,0.069,0,-0.2,-0.054,18,0,-0.17,0,0,0
272432,-0.196,0,0.07,0,-0.2,-0.054,18,0,-0.17,0,0,0
272433,-0.196,0,0.083,0,-0.2,-0.052,18,0,-0.17,0,0,0
272434,-0.196,0,0.082,0,-0.2,-0.052,18,0,-0.17,0,0,0
272435,-0.196,0,0.079,0,-0.2,-0.052,18,0,-0.17,0,0,0
272436,-0.202,0,0.07,0,-0.2,0.057,18,0,-0.17,0,0,0
272437,-0.196,0,0.064,0,-0.2,-0.055,18,0,-0.17,0,0,0
272438,-0.202,0,0.056,0,-0.2,0.054,18,0,-0.17,0,0,0
272439,-0.196,0,0.041,0,-0.2,-0.059,18,0,-0.17,0,0,0
272440,-0.196,0,0.052,0,-0.2,-0.057,18,0,-0.17,0,0,0
272441,-0.196,0,0.05,0,-0.2,-0.057,18,0,-0.17,0,0,0
272442,-0.196,0,0.051,0,-0.2,-0.057,18,0,-0.17,0,0,0
272443,-0.196,0,0.06,0,-0.2,-0.056,18,0,-0.17,0,0,0
272444,-0.196,0,0.057,0,-0.2,-0.056,18,0,-0.17,0,0,0
272445,-0.196,0,0.06,0,-0.2,-0.056,18,0,-0.17,0,0,0
272446,-0.196,0,0.061,0,-0.2,-0.055,18,0,-0.17,0,0,0
272447,-0.196,0,0.061,0,-0.2,-0.055,18,0,-0.17,0,0,0
272448,-0.196,0,0.062,0,-0.2,-0.055,18,0,-0.17,0,0,0
272449,-0.196,0,0.062,0,-0.2,-0.055,18,0,-0.17,0,0,0
272450,-0.196,0,0.062,0,-0.2,-0.055,18,0,-0.17,0,0,0
272451,-0.196,0,0.062,0,-0.2,-0.055,18,0,-0.17,0,0,0
272452,-0.196,0,0.061,0,-0.2,-0.055,18,0,-0.17,0,0,0
272453,-0.196,0,0.061,0,-0.2,-0.055,18,0,-0.17,0,0,0
272454,-0.196,0,0.06,0,-0.2,-0.056,18,0,-0.17,0,0,0
272455,-0.196,0,0.059,0,-0.2,-0.056,18,0,-0.17,0,0,0
272456,-0.196,0,0.058,0,-0.2,-0.056,18,0,-0.17,0,0,0
272457,-0.196,0,0.057,0,-0.2,-0.056,18,0,-0.17,0,0,0
272458,-0.196,0,0.055,0,-0.2,-0.056,18,0,-0.17,0,0,0
272459,-0.196,0,0.054,0,-0.2,-0.057,18,0,-0.17,0,0,0
272460,-0.196,0,0.052,0,-0.2,-0.057,18,0,-0.17,0,0,0
272461,-0.196,0,0.051,0,-0.2,-0.057,18,0,-0.17,0,0,0
272462,-0.202,0,0.035,0,-0.2,0.051,18,0,-0.17,0,0,0
272463,-0.196,0,0.026,0,-0.2,-0.061,18,0,-0.17,0,0,0
272464,-0.196,0,0.031,0,-0.2,-0.061,18,0,-0.17,0,0,0
272465,-0.196,0,0.021,0,-0.2,-0.062,18,0,-0.17,0,0,0
272466,-0.196,0,0.024,0,-0.2,-0.062,18,0,-0.17,0,0,0
272467,-0.202,0,0.015,0,-0.2,0.047,18,0,-0.17,0,0,0
272468,-0.196,0,0.004,0,-0.2,-0.065,18,0,-0.17,0,0,0
272469,-0.196,0,0.01,0,-0.2,-0.064,18,0,-0.17,0,0,0
272470,-0.196,0,0.002,0,-0.2,-0.065,18,0,-0.17,0,0,0
272471,-0.196,0,0.006,0,-0.2,-0.065,18,0,-0.17,0,0,0
272472,-0.196,0,0.013,0,-0.2,-0.064,18,0,-0.17,0,0,0
272473,-0.202,0,-0.005,0,-0.2,0.044,18,0,-0.17,0,0,0
272474,-0.202,0,-0.023,0,-0.2,0.041,18,0,-0.17,0,0,0
272475,-0.196,0,-0.023,0,-0.2,-0.07,18,0,-0.17,0,0,0
272476,-0.202,0,-0.039,0,-0.2,0.038,18,0,-0.17,0,0,0
272477,-0.202,0,-0.062,0,-0.2,0.034,18,0,-0.17,0,0,0
272478,-0.196,0,-0.051,0,-0.2,-0.074,18,0,-0.17,0,0,0
272479,-0.196,0,-0.048,0,-0.2,-0.074,18,0,-0.17,0,0,0
272480,-0.196,0,-0.051,0,-0.2,-0.074,18,0,-0.17,0,0,0
272481,-0.196,0,-0.036,0,-0.2,-0.072,18,0,-0.17,0,0,0
272482,-0.202,0,-0.043,0,-0.2,0.037,18,0,-0.17,0,0,0
272483,-0.202,0,-0.061,0,-0.2,0.034,18,0,-0.17,0,0,0
272484,-0.202,0,-0.069,0,-0.2,0.033,18,0,-0.17,0,0,0
272485,-0.202,0,-0.087,0,-0.2,0.03,18,0,-0.17,0,0,0
272486,-0.202,0,-0.1,0,-0.2,0.028,18,0,-0.17,0,0,0
272487,-0.202,0,-0.107,0,-0.2,0.026,18,0,-0.17,0,0,0
272488,-0.196,0,-0.103,0,-0.2,-0.083,18,0,-0.17,0,0,0
272489,-0.196,0,-0.09,0,-0.2,-0.081,18,0,-0.17,0,0,0
272490,-0.202,0,-0.096,0,-0.2,0.028,18,0,-0.17,0,0,0
272491,-0.196,0,-0.085,0,-0.2,-0.08,18,0,-0.17,0,0,0
272492,-0.202,0,-0.08,0,-0.2,0.031,18,0,-0.17,0,0,0
272493,-0.202,0,-0.101,0,-0.2,0.027,18,0,-0.17,0,0,0
272494,-0.196,0,-0.086,0,-0.2,-0.08,18,0,-0.17,0,0,0
272495,-0.202,0,-0.086,0,-0.2,0.03,18,0,-0.17,0,0,0
272496,-0.202,0,-0.104,0,-0.2,0.027,18,0,-0.17,0,0,0
272497,-0.202,0,-0.097,0,-0.2,0.028,18,0,-0.17,0,0,0
272498,-0.196,0,-0.092,0,-0.2,-0.081,18,0,-0.17,0,0,0
272499,-0.202,0,-0.096,0,-0.2,0.028,18,0,-0.17,0,0,0
272500,-0.196,0,-0.087,0,0.2,7.119,18,0,-0.17,0,0,0
272501,-0.196,0,-0.063,0,0.2,7.124,18,0,-0.17,0,0,0
272502,-0.202,0,-0.07,0,0.2,7.233,18,0,-0.17,0,0,0
272503,-0.202,0,-0.077,0,0.2,7.232,18,0,-0.17,0,0,0
272504,-0.196,0,-0.058,0,0.2,7.124,18,0,-0.17,0,0,0
272505,-0.196,0,-0.052,0,0.2,7.125,18,0,-0.17,0,0,0
272506,-0.196,0,-0.043,0,0.2,7.127,18,0,-0.17,0,0,0
272507,-0.19,0,-0.006,0,0.2,7.023,18,0,-0.17,0,0,0
272508,-0.196,0,0.013,0,0.2,7.137,18,0,-0.17,0,0,0
272509,-0.196,0,0.016,0,0.2,7.137,18,0,-0.17,0,0,0
272510,-0.196,0,0.036,0,0.2,7.14,18,0,-0.17,0,0,0
272511,-0.196,0,0.041,0,0.2,7.141,18,0,-0.17,0,0,0
272512,-0.196,0,0.043,0,0.2,7.142,18,0,-0.17,0,0,0
272513,-0.196,0,0.054,0,0.2,7.143,18,0,-0.17,0,0,0
272514,-0.196,0,0.059,0,0.2,7.144,18,0,-0.17,0,0,0
272515,-0.19,0,0.078,0,0.2,7.037,18,0,-0.17,0,0,0
272516,-0.19,0,0.103,0,0.2,7.041,18,0,-0.17,0,0,0
272517,-0.19,0,0.121,0,0.2,7.044,18,0,-0.17,0,0,0
272518,-0.184,0,0.161,0,0.2,6.941,18,0,-0.17,0,0,0
272519,-0.178,0,0.217,0,0.2,6.84,18,0,-0.17,0,0,0
272520,-0.178,0,0.266,0,0.2,6.848,18,0,-0.17,0,0,0
272521,-0.178,0,0.319,0,0.2,6.857,18,0,-0.17,0,0,0
